fold,model,rmse,mape,pcc
1,Classical LSTM,1990.54,12.61,-0.096
1,QLSTM,2002.19,16.89,-0.249
1,Stacked Model,1733.13,11.89,0.293
2,Classical LSTM,2451.51,21.88,0.025
2,QLSTM,2655.76,23.39,-0.141
2,Stacked Model,1903.48,13.95,0.143
3,Classical LSTM,1894.26,16.15,0.301
3,QLSTM,1867.89,12.06,0.219
3,Stacked Model,1871.06,11.77,0.3
4,Classical LSTM,3466.72,28.12,0.277
4,QLSTM,2315.73,22.65,0.244
4,Stacked Model,1810.98,11.19,0.25
