fold,horizon,model_type,rmse,mape (%),pearson_corr
1,4320,LSTM,2199.542,15.384262800216677,0.4560548426251702
1,4320,QLSTM,2104.549,14.809703826904297,0.5241479509338727
1,4320,LSTM,2172.08154296875,15.133550763130188,0.4778166510351089
1,4320,QLSTM,2149.476318359375,15.23694396018982,0.4957574697440373
2,4320,LSTM,2054.501220703125,14.303188025951384,0.4975734765135079
2,4320,QLSTM,2082.87109375,14.575423300266266,0.4760305929046859
2,4320,LSTM,2076.703125,14.52932208776474,0.4806442001133061
2,4320,QLSTM,2047.959228515625,14.390330016613008,0.5020334080199292
1,1440,LSTM,1713.1712646484375,11.415399610996246,0.716984916394712
1,1440,QLSTM,1743.9300537109375,11.718083173036575,0.70526057461426
1,4320,LSTM,1632.7674560546875,10.352002829313278,0.7507125189538784
1,4320,QLSTM,2024.109375,13.48930597305298,0.5742824893506678
3,4320,LSTM,1660.560546875,10.620591044425964,0.6706573468221226
3,4320,QLSTM,1800.6707763671875,11.784083396196364,0.594138952653136
1,1440,LSTM,1642.2607421875,10.426054894924164,0.7437539499151329
1,1440,QLSTM,1757.1624755859375,11.946550011634828,0.7006078153117317
2,1440,LSTM,1791.216796875,11.676671355962752,0.6662914680090274
2,1440,QLSTM,1835.4373779296875,12.094566971063614,0.645113253114199
2,1440,LSTM,1623.699951171875,10.178042203187944,0.7373957168632084
2,1440,QLSTM,1594.7646484375,9.84056144952774,0.7480298624649502
2,1440,LSTM,1502.052490234375,8.958012610673904,0.7803353834286358
2,1440,QLSTM,1719.1903076171875,11.006636917591097,0.698564413840038
4,1440,LSTM,1184.2564697265625,6.998618692159653,0.8277023587738065
4,1440,QLSTM,1362.58203125,8.218756318092346,0.7634437113469049
9,1440,LSTM,1524.1375732421875,9.848224371671677,0.5668167586839405
9,1440,QLSTM,1639.3392333984375,10.761763900518416,0.4637893476916966
3,1440,LSTM,1481.4820556640625,9.18787717819214,0.7720937798943399
3,1440,QLSTM,1586.761962890625,10.353697836399078,0.7326483603964178
3,1440,LSTM,1422.79443359375,8.585923910140991,0.7922203516138491
3,1440,QLSTM,1423.907958984375,8.620404452085495,0.7919797993000592
3,1440,LSTM,1451.6553955078125,8.873634040355682,0.7825834454203695
3,1440,QLSTM,1566.036376953125,9.923819452524183,0.7407832448789626
10,1440,LSTM,1452.2728271484375,9.112247079610825,0.5918275534379502
10,1440,QLSTM,1460.1051025390625,9.75952446460724,0.5863112322338397
5,1440,LSTM,1500.749267578125,9.214504808187485,0.762375661611627
5,1440,QLSTM,1795.13525390625,10.986248403787611,0.6338029083803156
4,1440,LSTM,1277.612060546875,7.762521505355835,0.7958317579347602
4,1440,QLSTM,1283.670166015625,7.706501334905624,0.7940291924849472
4,1440,LSTM,1209.5220947265625,7.087380439043045,0.8193324906481849
4,1440,QLSTM,1273.268310546875,7.712863385677338,0.7973884317121264
4,1440,LSTM,1251.596435546875,7.445650547742844,0.8049841504439073
4,1440,QLSTM,1328.9493408203125,7.881525158882141,0.7764188552547888
5,1440,LSTM,1483.2625732421875,9.019780904054642,0.768989544583265
5,1440,QLSTM,1464.439208984375,8.713258057832718,0.7752072761856552
6,1440,LSTM,1414.2081298828125,8.467625826597214,0.7827343463915822
6,1440,QLSTM,1424.6119384765625,8.68234783411026,0.7789717031561251
