fold,classical,quantum
1,0.0,11.654444444444444
2,0.0,27.059444444444445
3,0.0005555555555555,24.17361111111111
4,0.0,30.524722222222223
5,0.001111111111111,43.12
6,0.0024999999999999,38.95611111111111
7,0.0,45.129444444444445
8,0.0011111111111111,50.52444444444444
9,0.0013888888888888,56.35583333333334
10,0.0013888888888888,63.926944444444445
11,0.0016666666666666,69.43388888888889
12,0.008333333333333,99.27888888888889
13,0.0116666666666664,81.025
