"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"01.01.2016 00:00 - 01.01.2016 00:15","11169","10924"
"01.01.2016 00:15 - 01.01.2016 00:30","10933","10905"
"01.01.2016 00:30 - 01.01.2016 00:45","10697","10886"
"01.01.2016 00:45 - 01.01.2016 01:00","10482","10821"
"01.01.2016 01:00 - 01.01.2016 01:15","10286","10755"
"01.01.2016 01:15 - 01.01.2016 01:30","10119","10636"
"01.01.2016 01:30 - 01.01.2016 01:45","10010","10534"
"01.01.2016 01:45 - 01.01.2016 02:00","9866","10396"
"01.01.2016 02:00 - 01.01.2016 02:15","9765","10292"
"01.01.2016 02:15 - 01.01.2016 02:30","9671","10138"
"01.01.2016 02:30 - 01.01.2016 02:45","9602","10025"
"01.01.2016 02:45 - 01.01.2016 03:00","9531","9874"
"01.01.2016 03:00 - 01.01.2016 03:15","9500","9773"
"01.01.2016 03:15 - 01.01.2016 03:30","9480","9650"
"01.01.2016 03:30 - 01.01.2016 03:45","9462","9558"
"01.01.2016 03:45 - 01.01.2016 04:00","9438","9474"
"01.01.2016 04:00 - 01.01.2016 04:15","9436","9421"
"01.01.2016 04:15 - 01.01.2016 04:30","9495","9375"
"01.01.2016 04:30 - 01.01.2016 04:45","9564","9344"
"01.01.2016 04:45 - 01.01.2016 05:00","9612","9326"
"01.01.2016 05:00 - 01.01.2016 05:15","9713","9339"
"01.01.2016 05:15 - 01.01.2016 05:30","9863","9357"
"01.01.2016 05:30 - 01.01.2016 05:45","10009","9369"
"01.01.2016 05:45 - 01.01.2016 06:00","10254","9411"
"01.01.2016 06:00 - 01.01.2016 06:15","10573","9522"
"01.01.2016 06:15 - 01.01.2016 06:30","10933","9573"
"01.01.2016 06:30 - 01.01.2016 06:45","11300","9644"
"01.01.2016 06:45 - 01.01.2016 07:00","11731","9707"
"01.01.2016 07:00 - 01.01.2016 07:15","12219","9828"
"01.01.2016 07:15 - 01.01.2016 07:30","12691","9916"
"01.01.2016 07:30 - 01.01.2016 07:45","13168","10027"
"01.01.2016 07:45 - 01.01.2016 08:00","13692","10122"
"01.01.2016 08:00 - 01.01.2016 08:15","14111","10245"
"01.01.2016 08:15 - 01.01.2016 08:30","14481","10317"
"01.01.2016 08:30 - 01.01.2016 08:45","14744","10256"
"01.01.2016 08:45 - 01.01.2016 09:00","14897","10303"
"01.01.2016 09:00 - 01.01.2016 09:15","15048","10401"
"01.01.2016 09:15 - 01.01.2016 09:30","15123","10537"
"01.01.2016 09:30 - 01.01.2016 09:45","15206","10684"
"01.01.2016 09:45 - 01.01.2016 10:00","15265","10811"
"01.01.2016 10:00 - 01.01.2016 10:15","15350","11012"
"01.01.2016 10:15 - 01.01.2016 10:30","15400","11141"
"01.01.2016 10:30 - 01.01.2016 10:45","15458","11304"
"01.01.2016 10:45 - 01.01.2016 11:00","15494","11389"
"01.01.2016 11:00 - 01.01.2016 11:15","15508","11498"
"01.01.2016 11:15 - 01.01.2016 11:30","15510","11514"
"01.01.2016 11:30 - 01.01.2016 11:45","15514","11555"
"01.01.2016 11:45 - 01.01.2016 12:00","15527","11561"
"01.01.2016 12:00 - 01.01.2016 12:15","15534","11611"
"01.01.2016 12:15 - 01.01.2016 12:30","15503","11607"
"01.01.2016 12:30 - 01.01.2016 12:45","15452","11647"
"01.01.2016 12:45 - 01.01.2016 13:00","15434","11681"
"01.01.2016 13:00 - 01.01.2016 13:15","15435","11705"
"01.01.2016 13:15 - 01.01.2016 13:30","15490","11689"
"01.01.2016 13:30 - 01.01.2016 13:45","15529","11706"
"01.01.2016 13:45 - 01.01.2016 14:00","15498","11711"
"01.01.2016 14:00 - 01.01.2016 14:15","15453","11773"
