"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"17.02.2025 00:00 - 17.02.2025 00:15","11880","10490"
"17.02.2025 00:15 - 17.02.2025 00:30","11923","10659"
"17.02.2025 00:30 - 17.02.2025 00:45","11882","10787"
"17.02.2025 00:45 - 17.02.2025 01:00","11839","10728"
"17.02.2025 01:00 - 17.02.2025 01:15","11853","10698"
"17.02.2025 01:15 - 17.02.2025 01:30","11859","10727"
"17.02.2025 01:30 - 17.02.2025 01:45","11783","10687"
"17.02.2025 01:45 - 17.02.2025 02:00","11726","10632"
"17.02.2025 02:00 - 17.02.2025 02:15","11740","10642"
"17.02.2025 02:15 - 17.02.2025 02:30","11753","10666"
"17.02.2025 02:30 - 17.02.2025 02:45","11726","10640"
"17.02.2025 02:45 - 17.02.2025 03:00","11695","10663"
"17.02.2025 03:00 - 17.02.2025 03:15","11723","10680"
"17.02.2025 03:15 - 17.02.2025 03:30","11691","10719"
"17.02.2025 03:30 - 17.02.2025 03:45","11686","10729"
"17.02.2025 03:45 - 17.02.2025 04:00","11718","10743"
"17.02.2025 04:00 - 17.02.2025 04:15","11716","10762"
"17.02.2025 04:15 - 17.02.2025 04:30","11705","10813"
"17.02.2025 04:30 - 17.02.2025 04:45","11732","10851"
"17.02.2025 04:45 - 17.02.2025 05:00","11806","10852"
"17.02.2025 05:00 - 17.02.2025 05:15","11857","10873"
"17.02.2025 05:15 - 17.02.2025 05:30","11959","11084"
"17.02.2025 05:30 - 17.02.2025 05:45","12060","11275"
"17.02.2025 05:45 - 17.02.2025 06:00","12223","11500"
"17.02.2025 06:00 - 17.02.2025 06:15","12388","11765"
"17.02.2025 06:15 - 17.02.2025 06:30","12678","12070"
"17.02.2025 06:30 - 17.02.2025 06:45","12892","12235"
"17.02.2025 06:45 - 17.02.2025 07:00","13223","12391"
"17.02.2025 07:00 - 17.02.2025 07:15","13439","12671"
"17.02.2025 07:15 - 17.02.2025 07:30","13930","13190"
"17.02.2025 07:30 - 17.02.2025 07:45","14339","13540"
"17.02.2025 07:45 - 17.02.2025 08:00","14704","13800"
"17.02.2025 08:00 - 17.02.2025 08:15","14836","14042"
"17.02.2025 08:15 - 17.02.2025 08:30","15105","14238"
"17.02.2025 08:30 - 17.02.2025 08:45","15210","14218"
"17.02.2025 08:45 - 17.02.2025 09:00","15331","13988"
"17.02.2025 09:00 - 17.02.2025 09:15","15235","13649"
"17.02.2025 09:15 - 17.02.2025 09:30","15037","13183"
"17.02.2025 09:30 - 17.02.2025 09:45","14787","12538"
"17.02.2025 09:45 - 17.02.2025 10:00","14504","11802"
"17.02.2025 10:00 - 17.02.2025 10:15","14296","11054"
"17.02.2025 10:15 - 17.02.2025 10:30","13921","10299"
"17.02.2025 10:30 - 17.02.2025 10:45","13458","9682"
"17.02.2025 10:45 - 17.02.2025 11:00","13181","9056"
"17.02.2025 11:00 - 17.02.2025 11:15","13281","8423"
"17.02.2025 11:15 - 17.02.2025 11:30","13055","7954"
"17.02.2025 11:30 - 17.02.2025 11:45","12927","7553"
"17.02.2025 11:45 - 17.02.2025 12:00","12828","7158"
"17.02.2025 12:00 - 17.02.2025 12:15","12979","6878"
"17.02.2025 12:15 - 17.02.2025 12:30","12803","6651"
"17.02.2025 12:30 - 17.02.2025 12:45","12674","6499"
"17.02.2025 12:45 - 17.02.2025 13:00","12492","6444"
"17.02.2025 13:00 - 17.02.2025 13:15","12534","6377"
"17.02.2025 13:15 - 17.02.2025 13:30","12545","6325"
"17.02.2025 13:30 - 17.02.2025 13:45","12618","6327"
"17.02.2025 13:45 - 17.02.2025 14:00","12643","6417"
"17.02.2025 14:00 - 17.02.2025 14:15","12740","6531"
"17.02.2025 14:15 - 17.02.2025 14:30","12774","6722"
"17.02.2025 14:30 - 17.02.2025 14:45","12900","6889"
"17.02.2025 14:45 - 17.02.2025 15:00","13078","7131"
"17.02.2025 15:00 - 17.02.2025 15:15","13026","7479"
"17.02.2025 15:15 - 17.02.2025 15:30","13354","7995"
"17.02.2025 15:30 - 17.02.2025 15:45","13537","8580"
"17.02.2025 15:45 - 17.02.2025 16:00","13635","9233"
"17.02.2025 16:00 - 17.02.2025 16:15","13511","9882"
"17.02.2025 16:15 - 17.02.2025 16:30","14027","10708"
"17.02.2025 16:30 - 17.02.2025 16:45","14310","11526"
"17.02.2025 16:45 - 17.02.2025 17:00","14593","12089"
"17.02.2025 17:00 - 17.02.2025 17:15","14868","12653"
"17.02.2025 17:15 - 17.02.2025 17:30","15083","13285"
"17.02.2025 17:30 - 17.02.2025 17:45","15396","13960"
"17.02.2025 17:45 - 17.02.2025 18:00","15542","14265"
"17.02.2025 18:00 - 17.02.2025 18:15","15513","14288"
"17.02.2025 18:15 - 17.02.2025 18:30","15299","14208"
"17.02.2025 18:30 - 17.02.2025 18:45","15166","14211"
"17.02.2025 18:45 - 17.02.2025 19:00","15057","14157"
"17.02.2025 19:00 - 17.02.2025 19:15","14965","14087"
"17.02.2025 19:15 - 17.02.2025 19:30","14839","13899"
"17.02.2025 19:30 - 17.02.2025 19:45","14701","13728"
"17.02.2025 19:45 - 17.02.2025 20:00","14552","13716"
"17.02.2025 20:00 - 17.02.2025 20:15","14489","13683"
"17.02.2025 20:15 - 17.02.2025 20:30","14352","13568"
"17.02.2025 20:30 - 17.02.2025 20:45","14160","13473"
"17.02.2025 20:45 - 17.02.2025 21:00","14051","13247"
"17.02.2025 21:00 - 17.02.2025 21:15","13908","13063"
"17.02.2025 21:15 - 17.02.2025 21:30","13739","12832"
"17.02.2025 21:30 - 17.02.2025 21:45","13592","12666"
"17.02.2025 21:45 - 17.02.2025 22:00","13424","12456"
"17.02.2025 22:00 - 17.02.2025 22:15","13268","12179"
"17.02.2025 22:15 - 17.02.2025 22:30","13115","12016"
"17.02.2025 22:30 - 17.02.2025 22:45","12990","11895"
"17.02.2025 22:45 - 17.02.2025 23:00","12831","11643"
"17.02.2025 23:00 - 17.02.2025 23:15","12619","11398"
"17.02.2025 23:15 - 17.02.2025 23:30","12357","11146"
"17.02.2025 23:30 - 17.02.2025 23:45","12251","10972"
"17.02.2025 23:45 - 18.02.2025 00:00","12130","10819"
