"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"01.01.2017 00:00 - 01.01.2017 00:15","11301","11061"
"01.01.2017 00:15 - 01.01.2017 00:30","11241","11050"
"01.01.2017 00:30 - 01.01.2017 00:45","11176","11031"
"01.01.2017 00:45 - 01.01.2017 01:00","11026","10959"
"01.01.2017 01:00 - 01.01.2017 01:15","10774","10903"
"01.01.2017 01:15 - 01.01.2017 01:30","10610","10849"
"01.01.2017 01:30 - 01.01.2017 01:45","10389","10757"
"01.01.2017 01:45 - 01.01.2017 02:00","10198","10667"
"01.01.2017 02:00 - 01.01.2017 02:15","10088","10503"
"01.01.2017 02:15 - 01.01.2017 02:30","9962","10365"
"01.01.2017 02:30 - 01.01.2017 02:45","9824","10262"
"01.01.2017 02:45 - 01.01.2017 03:00","9701","10148"
"01.01.2017 03:00 - 01.01.2017 03:15","9610","10096"
"01.01.2017 03:15 - 01.01.2017 03:30","9540","9972"
"01.01.2017 03:30 - 01.01.2017 03:45","9498","9863"
"01.01.2017 03:45 - 01.01.2017 04:00","9471","9790"
"01.01.2017 04:00 - 01.01.2017 04:15","9414","9743"
"01.01.2017 04:15 - 01.01.2017 04:30","9425","9684"
"01.01.2017 04:30 - 01.01.2017 04:45","9488","9646"
"01.01.2017 04:45 - 01.01.2017 05:00","9582","9644"
"01.01.2017 05:00 - 01.01.2017 05:15","9707","9639"
"01.01.2017 05:15 - 01.01.2017 05:30","9790","9629"
"01.01.2017 05:30 - 01.01.2017 05:45","9818","9657"
"01.01.2017 05:45 - 01.01.2017 06:00","9817","9681"
"01.01.2017 06:00 - 01.01.2017 06:15","9878","9735"
"01.01.2017 06:15 - 01.01.2017 06:30","9941","9789"
"01.01.2017 06:30 - 01.01.2017 06:45","10040","9773"
"01.01.2017 06:45 - 01.01.2017 07:00","10133","9837"
"01.01.2017 07:00 - 01.01.2017 07:15","10257","9988"
"01.01.2017 07:15 - 01.01.2017 07:30","10451","10052"
"01.01.2017 07:30 - 01.01.2017 07:45","10608","10169"
"01.01.2017 07:45 - 01.01.2017 08:00","10844","10259"
"01.01.2017 08:00 - 01.01.2017 08:15","11130","10371"
"01.01.2017 08:15 - 01.01.2017 08:30","11476","10461"
"01.01.2017 08:30 - 01.01.2017 08:45","11716","10517"
"01.01.2017 08:45 - 01.01.2017 09:00","11829","10508"
"01.01.2017 09:00 - 01.01.2017 09:15","11953","10628"
"01.01.2017 09:15 - 01.01.2017 09:30","12150","10761"
"01.01.2017 09:30 - 01.01.2017 09:45","12345","10932"
"01.01.2017 09:45 - 01.01.2017 10:00","12592","11089"
"01.01.2017 10:00 - 01.01.2017 10:15","12710","11314"
"01.01.2017 10:15 - 01.01.2017 10:30","12882","11479"
"01.01.2017 10:30 - 01.01.2017 10:45","13018","11630"
"01.01.2017 10:45 - 01.01.2017 11:00","13122","11796"
"01.01.2017 11:00 - 01.01.2017 11:15","13151","11958"
"01.01.2017 11:15 - 01.01.2017 11:30","13213","12087"
"01.01.2017 11:30 - 01.01.2017 11:45","13276","12199"
"01.01.2017 11:45 - 01.01.2017 12:00","13321","12299"
"01.01.2017 12:00 - 01.01.2017 12:15","13407","12436"
"01.01.2017 12:15 - 01.01.2017 12:30","13506","12508"
"01.01.2017 12:30 - 01.01.2017 12:45","13565","12570"
"01.01.2017 12:45 - 01.01.2017 13:00","13570","12584"
"01.01.2017 13:00 - 01.01.2017 13:15","13614","12608"
"01.01.2017 13:15 - 01.01.2017 13:30","13623","12648"
"01.01.2017 13:30 - 01.01.2017 13:45","13636","12697"
"01.01.2017 13:45 - 01.01.2017 14:00","13618","12657"
