jobname,jobid,fold,variant,epoch,hours,filename,epoch_hours,cum_hours
err,12191775,2,quantum,1,2.4408333333333334,err_12191775_2.err,2.4408333333333334,2.4408333333333334
err,12191775,2,quantum,2,2.477777777777778,err_12191775_2.err,2.477777777777778,4.918611111111112
err,12191775,2,quantum,3,2.4963888888888888,err_12191775_2.err,2.4963888888888888,7.415
err,12191775,2,quantum,4,2.453888888888889,err_12191775_2.err,2.453888888888889,9.86888888888889
err,12191775,2,quantum,5,2.4494444444444445,err_12191775_2.err,2.4494444444444445,12.318333333333332
err,12191775,2,quantum,6,2.451388888888889,err_12191775_2.err,2.451388888888889,14.769722222222224
err,12191775,2,quantum,7,2.453611111111111,err_12191775_2.err,2.453611111111111,17.223333333333333
err,12191775,2,quantum,8,2.456111111111111,err_12191775_2.err,2.456111111111111,19.67944444444444
err,12191775,2,quantum,9,2.457222222222222,err_12191775_2.err,2.457222222222222,22.136666666666667
err,12191775,2,quantum,10,2.460277777777778,err_12191775_2.err,2.460277777777778,24.596944444444443
err,12191775,2,quantum,11,2.4625,err_12191775_2.err,2.4625,27.059444444444445
