jobname,jobid,fold,variant,epoch,hours,filename,epoch_hours,cum_hours
err,12191775,3,classical,1,0.0005555555555555,err_12191775_3.err,0.0005555555555555,0.0005555555555555
err,12191775,3,quantum,1,3.41,err_12191775_3.err,3.41,3.41
err,12191775,3,quantum,2,3.455,err_12191775_3.err,3.455,6.865
err,12191775,3,quantum,3,3.4611111111111112,err_12191775_3.err,3.4611111111111112,10.32611111111111
err,12191775,3,quantum,4,3.4519444444444445,err_12191775_3.err,3.4519444444444445,13.778055555555556
err,12191775,3,quantum,5,3.459722222222222,err_12191775_3.err,3.459722222222222,17.23777777777778
err,12191775,3,quantum,6,3.466388888888889,err_12191775_3.err,3.466388888888889,20.704166666666666
err,12191775,3,quantum,7,3.469444444444445,err_12191775_3.err,3.469444444444445,24.17361111111111
