jobid,fold,variant,epoch,batch,total_batches,loss,filename
err_12191775,1,classical,2,30,52,0.0532,err_12191775_1.err
err_12191775,1,classical,2,30,52,0.0377,err_12191775_1.err
err_12191775,1,classical,2,30,52,0.0356,err_12191775_1.err
err_12191775,1,classical,2,36,52,0.0356,err_12191775_1.err
err_12191775,1,classical,2,36,52,0.0398,err_12191775_1.err
err_12191775,1,classical,2,36,52,0.0335,err_12191775_1.err
err_12191775,1,classical,2,36,52,0.0346,err_12191775_1.err
err_12191775,1,classical,2,36,52,0.0271,err_12191775_1.err
err_12191775,1,classical,2,36,52,0.0349,err_12191775_1.err
err_12191775,1,classical,2,36,52,0.0236,err_12191775_1.err
err_12191775,1,classical,2,42,52,0.0236,err_12191775_1.err
err_12191775,1,classical,2,42,52,0.0246,err_12191775_1.err
err_12191775,1,classical,2,42,52,0.0227,err_12191775_1.err
err_12191775,1,classical,2,42,52,0.0201,err_12191775_1.err
err_12191775,1,classical,2,42,52,0.0203,err_12191775_1.err
err_12191775,1,classical,2,42,52,0.0206,err_12191775_1.err
err_12191775,1,classical,2,42,52,0.0223,err_12191775_1.err
err_12191775,1,classical,2,48,52,0.0223,err_12191775_1.err
err_12191775,1,classical,2,48,52,0.0257,err_12191775_1.err
err_12191775,1,classical,2,48,52,0.0187,err_12191775_1.err
err_12191775,1,classical,2,48,52,0.0166,err_12191775_1.err
err_12191775,1,classical,2,48,52,0.0223,err_12191775_1.err
err_12191775,1,classical,3,0,52,0.0682,err_12191775_1.err
err_12191775,1,classical,3,0,52,0.0398,err_12191775_1.err
err_12191775,1,classical,3,0,52,0.0247,err_12191775_1.err
err_12191775,1,classical,3,0,52,0.025,err_12191775_1.err
err_12191775,1,classical,3,0,52,0.026,err_12191775_1.err
err_12191775,1,classical,3,0,52,0.0487,err_12191775_1.err
err_12191775,1,classical,3,6,52,0.0487,err_12191775_1.err
err_12191775,1,classical,3,6,52,0.036,err_12191775_1.err
err_12191775,1,classical,3,6,52,0.0366,err_12191775_1.err
err_12191775,1,classical,3,6,52,0.0242,err_12191775_1.err
err_12191775,1,classical,3,6,52,0.0188,err_12191775_1.err
err_12191775,1,classical,3,6,52,0.0125,err_12191775_1.err
err_12191775,1,classical,3,6,52,0.0177,err_12191775_1.err
err_12191775,1,classical,3,12,52,0.0177,err_12191775_1.err
err_12191775,1,classical,3,12,52,0.0216,err_12191775_1.err
err_12191775,1,classical,3,12,52,0.0175,err_12191775_1.err
err_12191775,1,classical,3,12,52,0.0221,err_12191775_1.err
err_12191775,1,classical,3,12,52,0.0224,err_12191775_1.err
err_12191775,1,classical,3,12,52,0.0144,err_12191775_1.err
err_12191775,1,classical,3,12,52,0.0201,err_12191775_1.err
err_12191775,1,classical,3,18,52,0.0201,err_12191775_1.err
err_12191775,1,classical,3,18,52,0.0142,err_12191775_1.err
err_12191775,1,classical,3,18,52,0.00987,err_12191775_1.err
err_12191775,1,classical,3,18,52,0.00815,err_12191775_1.err
err_12191775,1,classical,3,18,52,0.0125,err_12191775_1.err
err_12191775,1,classical,3,18,52,0.0163,err_12191775_1.err
err_12191775,1,classical,3,18,52,0.0198,err_12191775_1.err
err_12191775,1,classical,3,24,52,0.0198,err_12191775_1.err
err_12191775,1,classical,3,24,52,0.016,err_12191775_1.err
err_12191775,1,classical,3,24,52,0.0148,err_12191775_1.err
err_12191775,1,classical,3,24,52,0.017,err_12191775_1.err
err_12191775,1,classical,3,24,52,0.0167,err_12191775_1.err
err_12191775,1,classical,3,24,52,0.0187,err_12191775_1.err
err_12191775,1,classical,3,24,52,0.0218,err_12191775_1.err
err_12191775,1,classical,3,30,52,0.0218,err_12191775_1.err
err_12191775,1,classical,3,30,52,0.0193,err_12191775_1.err
err_12191775,1,classical,3,30,52,0.0216,err_12191775_1.err
err_12191775,1,classical,3,30,52,0.0223,err_12191775_1.err
err_12191775,1,classical,3,30,52,0.0265,err_12191775_1.err
err_12191775,1,classical,3,30,52,0.0169,err_12191775_1.err
err_12191775,1,classical,3,30,52,0.0166,err_12191775_1.err
err_12191775,1,classical,3,36,52,0.0166,err_12191775_1.err
err_12191775,1,classical,3,36,52,0.0215,err_12191775_1.err
err_12191775,1,classical,3,36,52,0.0213,err_12191775_1.err
err_12191775,1,classical,3,36,52,0.0176,err_12191775_1.err
err_12191775,1,classical,3,36,52,0.0162,err_12191775_1.err
err_12191775,1,classical,3,36,52,0.0146,err_12191775_1.err
err_12191775,1,classical,3,36,52,0.0161,err_12191775_1.err
err_12191775,1,classical,3,42,52,0.0161,err_12191775_1.err
err_12191775,1,classical,3,42,52,0.0169,err_12191775_1.err
err_12191775,1,classical,3,42,52,0.0176,err_12191775_1.err
err_12191775,1,classical,3,42,52,0.011,err_12191775_1.err
err_12191775,1,classical,3,42,52,0.0154,err_12191775_1.err
