,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens,"Liquefied natural gas, Japan | ($/mmbtu)",Beroepsbevolking|Seizoengecorrigeerd,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Verandering in voorraden,"Natural gas, US | ($/mmbtu)",Jaarmutatie CPI | %,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Bedrijven en huishoudens,Natural gas index | (2010=100),Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal
Jaarmutatie CPI | %,0.235181481696657,0.03137165350357326,-0.03858808782459095,0.07242725182195758,-0.7084229268217355,-0.6141216358869083,0.07184591067204787,-0.7151639077892589,-0.8861239507348794,-0.6737758195625747,-0.7724583757204622,0.7369417431318649,-0.6303104946038093,-0.9526776913340445,0.7418057804452858,1.0,-0.7424845372487945,0.7769227812288483,-0.3490490200131071,0.7920058530416603,-0.6771675458406851,0.19154678653891485,-0.35061716903614754,0.1680647196019932,0.1317119230410664,0.12955533007578537,-0.5349318686219251,0.16443484682614565,0.7697361487077355,0.39070899229797545,-0.4880291214211973,-0.4914085404196326
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Bedrijven en huishoudens,-0.23415589439861317,-0.03411477167231497,0.004099063223633121,-0.060661336649332306,0.353418863195297,0.2776559386293006,-0.05016987626228341,0.3701908141771973,0.8720301696141995,0.5484355124558066,0.4098803400963028,-0.8187492112856414,0.8935619157211874,0.6862639493790436,-0.8740208158894661,-0.7424845372487945,1.0,-0.8430943096134647,0.044304942042898095,-0.7189977932060102,0.8973401061345945,0.021313102854190587,0.7911481798642148,-0.13542937277468625,0.21988710673438513,0.19084216185825306,0.8581648263339258,-0.18281631035358695,-0.7489193612783446,-0.5448890078129063,0.38671804099115614,0.8595777396397364
Natural gas index | (2010=100),0.23105124520112158,0.04901100818697023,-0.005292406602850523,0.07943871240450037,-0.4747381701798198,-0.3872968636876523,0.07984839686687507,-0.4977492090718533,-0.8581123645312937,-0.7205490376441367,-0.5484863829844006,0.8852002288951631,-0.6676831256122377,-0.8176611890790478,0.9868478371043633,0.7769227812288483,-0.8430943096134647,1.0,-0.2267596943852201,0.8617186379439299,-0.8527081822832158,0.24889777179173614,-0.5503998420976839,0.26043893802431906,0.06380305121654609,0.20506128539505133,-0.630019011361854,0.24783514295820913,0.8402031552922394,0.523357287619708,-0.673315239363964,-0.6128826062278604
Werkzame beroepsbevolking|Seizoengecorrigeerd,0.053472471885884706,0.0819772459986481,0.13590644379512096,-0.03922924187121293,0.5780141808240596,0.5401371293419189,0.005636766725331681,0.5708071737906231,-0.00921377250208644,-0.14390930444672828,0.020974621111406595,-0.05905903111858656,-0.27135681406279016,0.34087671450489937,-0.11716035278070995,-0.3490490200131071,0.044304942042898095,-0.2267596943852201,1.0,-0.5190575264332128,0.15149640509069387,-0.004509688255917964,-0.18812281350773521,-0.24689957621650957,0.1034932829498461,-0.13505760217370563,-0.02512224441177453,-0.27483281842201335,-0.3621261214802637,-0.051054176219156415,0.6125865213284021,0.23331852873158906
Werkloze beroepsbevolking|Seizoengecorrigeerd,0.1906852987066982,0.03675102287030855,-0.035688838694571116,0.08042384381183099,-0.6506856168899225,-0.5633454417732566,0.07332993685764001,-0.6608597284685506,-0.6728593218815685,-0.5823968773363536,-0.45439177675034803,0.8838179314989106,-0.4009624071768169,-0.7594349783453018,0.8329807395871375,0.7920058530416603,-0.7189977932060102,0.8617186379439299,-0.5190575264332128,1.0,-0.8571063053234332,0.2524924024345849,-0.45786740394874786,0.32120011608422344,-0.007574847728351405,0.17115757521523473,-0.5890903591535307,0.3294866512171616,0.9267548009697721,0.5992065332299717,-0.8228782949453414,-0.6028985886367535
Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,-0.22362593412550705,-0.06165811336826018,-0.018931277088055826,-0.08085753779040401,0.4051736644201561,0.3256673118392633,-0.06851458610608756,0.422799897153276,0.7487511649167138,0.6079856399555601,0.34732358483695325,-0.9179848309235684,0.6517612992044085,0.6392850311820399,-0.8767232288248074,-0.6771675458406851,0.8973401061345945,-0.8527081822832158,0.15149640509069387,-0.8571063053234332,1.0,-0.02012355744110288,0.8105402205888271,-0.33847120874686587,0.26389488050726756,0.10253493331601275,0.8820077673927603,-0.3933034247671147,-0.8696925014891795,-0.6429896206777344,0.6543289989521854,0.7693136815283238
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,0.03807164985494044,0.014040955918544902,-0.015277215316840438,-0.0256900941788344,-0.11874919065231382,-0.09740279502880626,0.048542196751055824,-0.12290939078698145,-0.10776684238988263,-0.30807839676616866,-0.1909973580644652,0.28999165049523784,0.09467279181502546,-0.1896862807360707,0.2462305140979097,0.19154678653891485,0.021313102854190587,0.24889777179173614,-0.004509688255917964,0.2524924024345849,-0.02012355744110288,1.0,0.11890952678110266,-0.26899328947287415,0.6696652935771206,0.5284511345943755,0.17019330117838136,-0.35694101204760503,0.15242755677966355,0.001431144990406016,-0.25667977178009144,0.16443175308606642
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,-0.1367777679648967,-0.05150024316896862,-0.06340236264303611,-0.041226666279461296,-0.02427366724100269,-0.060989039194810954,-0.027781911945035834,-0.014125887452698582,0.534756260289362,0.3983022855888145,-0.02663935381555941,-0.6359243464998271,0.6743224372527487,0.24154997434795053,-0.6273361088698802,-0.35061716903614754,0.7911481798642148,-0.5503998420976839,-0.18812281350773521,-0.45786740394874786,0.8105402205888271,0.11890952678110266,1.0,0.034226040263781864,0.4531085005940163,0.45508069073309626,0.9411383073907489,-0.06646017737112628,-0.5669943418287927,-0.5807106712407435,0.23019404931094628,0.7260079658412563
Aantal verkochte woningen|Aantal verkochte woningen,0.12208656939425054,0.08679782462876957,0.037152325894896594,0.10173739531961952,-0.3526276257502245,-0.2938230122497139,0.051911485551234905,-0.3859795758506233,-0.18362897277154713,-0.20454546801640586,-0.29203329191559946,0.24239012800414617,0.03465676110663845,-0.3419488317485464,0.20819174742398663,0.1680647196019932,-0.13542937277468625,0.26043893802431906,-0.24689957621650957,0.32120011608422344,-0.33847120874686587,-0.26899328947287415,0.034226040263781864,1.0,-0.0960462510233867,0.38423225626874824,-0.10439758679038907,0.9708998408856313,0.19241365051747564,-0.17214660436635845,-0.5484759921634859,-0.09820802998712405
Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,0.031226294383597406,0.1101414424288448,0.06059699407142259,-0.025460870094555655,-0.07784405521196427,-0.06668966039040929,0.019044349448819966,-0.0822187444141751,-0.08629119686199348,-0.24630153799181165,-0.30391296942773327,0.0532687295540357,0.10689814933440672,-0.19899570098239347,0.01580399939701384,0.1317119230410664,0.21988710673438513,0.06380305121654609,0.1034932829498461,-0.007574847728351405,0.26389488050726756,0.6696652935771206,0.4531085005940163,-0.0960462510233867,1.0,0.8088754518274865,0.4405983797019275,-0.2900423752111203,-0.14289721210585932,-0.3000010862504281,0.0450756367794372,0.43192864001758746
Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,0.07526183387130787,0.1627181480286574,0.1006298962821835,0.07571508966345245,-0.201843781918702,-0.15732779912465839,0.05069717260410387,-0.23323257642231712,-0.10541650569137444,-0.3608193577381623,-0.31375104945392857,0.1306802900769244,0.19244976955762724,-0.27306011962686944,0.14173816122819202,0.12955533007578537,0.19084216185825306,0.20506128539505133,-0.13505760217370563,0.17115757521523473,0.10253493331601275,0.5284511345943755,0.45508069073309626,0.38423225626874824,0.8088754518274865,1.0,0.443140518639974,0.17463601773796075,-0.06789569249974511,-0.38916681744172565,-0.26289773518040727,0.41673457143974213
Gemiddelde verkoopprijs,-0.1694945796866001,-0.02378368960824092,-0.012937111760297777,-0.044923213018439725,0.2054136709582428,0.15308265893203338,-0.0268438102303053,0.21172197289164682,0.639759838937405,0.4136564883256256,0.1625369739137226,-0.701177098128437,0.695843609026339,0.4461348221985402,-0.6734849996610813,-0.5349318686219251,0.8581648263339258,-0.630019011361854,-0.02512224441177453,-0.5890903591535307,0.8820077673927603,0.17019330117838136,0.9411383073907489,-0.10439758679038907,0.4405983797019275,0.443140518639974,1.0,-0.22032706205470642,-0.6801442067760791,-0.5723098597117293,0.3723095800607114,0.8022193830360453
Totale waarde verkoopprijzen,0.10428815538889775,0.03509319863687726,-0.003526200767474623,0.08127847441869887,-0.35693470218390266,-0.30441288981427844,0.04586025061709513,-0.38308976369745046,-0.1627198830172542,-0.12628067546764796,-0.24453744292584847,0.23522765489103156,0.026397692722776464,-0.3226292999593183,0.20046091877559263,0.16443484682614565,-0.18281631035358695,0.24783514295820913,-0.27483281842201335,0.3294866512171616,-0.3933034247671147,-0.35694101204760503,-0.06646017737112628,0.9708998408856313,-0.2900423752111203,0.17463601773796075,-0.22032706205470642,1.0,0.2531295882984862,-0.08125339868638423,-0.5849532360393969,-0.20907436360755483
CPI | 2015 = 100,0.17082122270213518,-0.015409016935801679,-0.0633481608205925,0.02545583803787975,-0.561172875281803,-0.49729768359663296,0.07664807133112665,-0.5547075210567458,-0.6853792847331543,-0.5665067111220232,-0.4661086210348266,0.8828007155781565,-0.4628791788804215,-0.7280037266972941,0.8255468959356533,0.7697361487077355,-0.7489193612783446,0.8402031552922394,-0.3621261214802637,0.9267548009697721,-0.8696925014891795,0.15242755677966355,-0.5669943418287927,0.19241365051747564,-0.14289721210585932,-0.06789569249974511,-0.6801442067760791,0.2531295882984862,1.0,0.8108734279185951,-0.7491334531714029,-0.6340099798714254
CPI afgeleid | 2015 = 100,0.07624794996037963,-0.049502938594890744,-0.04937865189630871,-0.03877807266650095,-0.17930230757421273,-0.17820281234106794,0.04574763021132936,-0.15013603748228516,-0.3831441153220523,-0.328578361793293,-0.13830060472373149,0.6680398382972421,-0.3619683079130904,-0.28187193582702524,0.5576496304193668,0.39070899229797545,-0.5448890078129063,0.523357287619708,-0.051054176219156415,0.5992065332299717,-0.6429896206777344,0.001431144990406016,-0.5807106712407435,-0.17214660436635845,-0.3000010862504281,-0.38916681744172565,-0.5723098597117293,-0.08125339868638423,0.8108734279185951,1.0,-0.37197937123187635,-0.5067401896948305
Jaarmutatie CPI afgeleid | %,-0.08875281342813882,0.024457262186923834,0.08316140679943101,-0.037296039651893306,0.5703226952377255,0.5037365863480467,-0.06699030638675803,0.57998677543717,0.33135497949937087,0.3339979714598599,0.2858011735079037,-0.6238677619646036,-0.017574103243093084,0.577515886477691,-0.6072480502988175,-0.4880291214211973,0.38671804099115614,-0.673315239363964,0.6125865213284021,-0.8228782949453414,0.6543289989521854,-0.25667977178009144,0.23019404931094628,-0.5484759921634859,0.0450756367794372,-0.26289773518040727,0.3723095800607114,-0.5849532360393969,-0.7491334531714029,-0.37197937123187635,1.0,0.3974791937696624
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,-0.10576473547058207,0.06302375148812334,0.09276728419364302,0.014056084254944567,0.27118703294698276,0.2286019058570022,-0.003282727190902571,0.2716540983176254,0.5330943731625547,0.0686308304882382,0.04405266448810369,-0.5792845983991252,0.657343713068388,0.4219627603281341,-0.62726344071941,-0.4914085404196326,0.8595777396397364,-0.6128826062278604,0.23331852873158906,-0.6028985886367535,0.7693136815283238,0.16443175308606642,0.7260079658412563,-0.09820802998712405,0.43192864001758746,0.41673457143974213,0.8022193830360453,-0.20907436360755483,-0.6340099798714254,-0.5067401896948305,0.3974791937696624,1.0
