,yhat,ds,trend,daily,weekly,yearly,train,dailyMeanWindspeed-60days,NAO-60days,sic-60days,loadConsumption-60days-24h,loadConsumption-60days-12m,avgElectricityPrice-60days,dailyMeanTemperature-60days,nat-60days,winterIndex,test,loadConsumption-60days-7days,loadConsumption-60days,avgGasPrice-60days,geopotential-60days,renewableEnergyRatio-60days,dailyPrecipitation-60days,loadConsumption
0,11435.607099040928,2011-12-01 00:00:00,11343.836984545807,-2220.323822110986,540.0260279999103,550.9256742852323,False,0.9,0.39,7500.852466131058,10852.0,11480.0,0.0945,15.6,0.1934405173540185,4.0,True,10052.0,10120.0,0.969,6112159.775156984,4.53,0.0,10965.0
1,10819.006060850883,2011-12-01 01:00:00,11343.835079383442,-2982.938998592388,530.5451711561183,552.2854496536283,False,0.9,0.39,7500.852466131058,10101.0,10491.0,0.0945,15.6,0.1934405173540185,4.0,True,9420.0,9527.0,0.969,6112159.775156984,4.53,0.0,10242.0
2,10357.252145254086,2011-12-01 02:00:00,11343.833174221078,-3534.285350438459,520.4623790241119,553.6414714268535,False,0.9,0.39,7500.852466131058,9696.0,9759.0,0.0945,15.6,0.1934405173540185,4.0,True,9087.0,9172.0,0.969,6112159.775156984,4.53,0.0,9933.0
3,10080.882468114876,2011-12-01 03:00:00,11343.831269058712,-3850.574971123894,509.8801296465389,554.9937116295516,False,0.9,0.39,7500.852466131058,9520.0,9384.0,0.0945,15.6,0.1934405173540185,4.0,True,8923.0,9007.0,0.969,6112159.775156984,4.53,0.0,9850.0
4,10112.458749951636,2011-12-01 04:00:00,11343.829363896346,-3834.083721844761,498.91352110804473,556.3421423007547,False,0.9,0.39,7500.852466131058,9388.0,9197.0,0.0945,15.6,0.1934405173540185,4.0,True,8848.0,8910.0,0.969,6112159.775156984,4.53,0.0,9907.0
5,10610.036295524347,2011-12-01 05:00:00,11343.82745873398,-3334.2957075956306,487.6879566942974,557.6867354945887,False,0.9,0.39,7500.852466131058,9392.0,9100.0,0.0945,15.6,0.1934405173540185,4.0,True,8848.0,8882.0,0.969,6112159.775156984,4.53,0.0,10386.0
6,11620.954742310598,2011-12-01 06:00:00,11343.825553571614,-2285.336334001946,476.3366150683532,559.0274632816964,False,0.9,0.39,7500.852466131058,9766.0,9167.0,0.0945,15.6,0.1934405173540185,4.0,True,9008.0,8998.0,0.969,6112159.775156984,4.53,0.0,11960.0
7,12994.11594424638,2011-12-01 07:00:00,11343.82364840925,-840.7667259920075,464.9977440082159,560.3642977504594,False,0.9,0.39,7500.852466131058,10446.0,9543.0,0.0945,15.6,0.1934405173540185,4.0,True,9194.0,9212.0,0.969,6112159.775156984,4.53,0.0,14412.0
8,14308.605160537449,2011-12-01 08:00:00,11343.821743246885,636.2207461646445,453.8118190507578,561.6972110082005,False,0.9,0.39,7500.852466131058,11365.0,10447.0,0.0945,15.6,0.1934405173540185,4.0,True,9847.0,9819.0,0.969,6112159.775156984,4.53,0.0,15866.0
9,15245.008416822337,2011-12-01 09:00:00,11343.81983808452,1752.4096419045054,442.91861047791224,563.0261751817134,False,0.9,0.39,7500.852466131058,12381.0,11448.0,0.0945,15.6,0.1934405173540185,4.0,True,10588.0,10642.0,0.969,6112159.775156984,4.53,0.0,16285.0
10,15647.372316910132,2011-12-01 10:00:00,11343.817932922155,2306.289606316464,432.45420375344736,564.3511624190426,False,0.9,0.39,7500.852466131058,12780.0,12525.0,0.0945,15.6,0.1934405173540185,4.0,True,11096.0,11175.0,0.969,6112159.775156984,4.53,0.0,16373.0
11,15645.31394389139,2011-12-01 11:00:00,11343.81602775979,2379.0846192366066,422.54801936466976,565.6721448906127,False,0.9,0.39,7500.852466131058,12909.0,12958.0,0.0945,15.6,0.1934405173540185,4.0,True,11403.0,11461.0,0.969,6112159.775156984,4.53,0.0,16403.0
12,15469.191694307647,2011-12-01 12:00:00,11343.814122597425,2230.15033470419,413.319878484614,566.9890947899702,False,0.9,0.39,7500.852466131058,12814.0,13043.0,0.0945,15.6,0.1934405173540185,4.0,True,11555.0,11557.0,0.969,6112159.775156984,4.53,0.0,16245.0
13,15349.152632240026,2011-12-01 13:00:00,11343.812217435061,2094.5612413592125,404.8771604626024,568.3019843354049,False,0.9,0.39,7500.852466131058,12634.0,12885.0,0.0945,15.6,0.1934405173540185,4.0,True,11486.0,11438.0,0.969,6112159.775156984,4.53,0.0,16304.0
14,15341.606000558699,2011-12-01 14:00:00,11343.810312272695,2050.1257856841135,397.3120972916403,569.6107857707017,False,0.9,0.39,7500.852466131058,12489.0,12655.0,0.0945,15.6,0.1934405173540185,4.0,True,11255.0,11242.0,0.969,6112159.775156984,4.53,0.0,16430.0
15,15368.306035359632,2011-12-01 15:00:00,11343.808407110331,2039.870192923368,390.6992486159171,570.9154713664183,False,0.9,0.39,7500.852466131058,12290.0,12392.0,0.0945,15.6,0.1934405173540185,4.0,True,11074.0,11098.0,0.969,6112159.775156984,4.53,0.0,16331.0
16,15321.832732553632,2011-12-01 16:00:00,11343.806501947964,1989.185490753775,385.09319865544313,572.216013421374,False,0.9,0.39,7500.852466131058,12261.0,12200.0,0.0945,15.6,0.1934405173540185,4.0,True,11156.0,11189.0,0.969,6112159.775156984,4.53,0.0,16583.0
17,15155.157749328682,2011-12-01 17:00:00,11343.804596785598,1885.16065505391,380.5265137652329,573.5123842633706,False,0.9,0.39,7500.852466131058,12332.0,12306.0,0.0945,15.6,0.1934405173540185,4.0,True,11687.0,11730.0,0.969,6112159.775156984,4.53,0.0,17193.0
18,14972.94310873725,2011-12-01 18:00:00,11343.802691623234,1748.7017898049885,377.0079959762239,574.804556250496,False,0.9,0.39,7500.852466131058,12255.0,12618.0,0.0945,15.6,0.1934405173540185,4.0,True,11901.0,11961.0,0.969,6112159.775156984,4.53,0.0,16651.0
19,14704.439251779762,2011-12-01 19:00:00,11343.800786460868,1553.248605360926,374.5212641378721,576.0925017721927,False,0.9,0.39,7500.852466131058,12756.0,12826.0,0.0945,15.6,0.1934405173540185,4.0,True,12392.0,12696.0,0.969,6112159.775156984,4.53,0.0,16270.0
20,14253.430133348133,2011-12-01 20:00:00,11343.798881298504,1198.8509723482744,373.0236900479126,577.3761932509134,False,0.9,0.39,7500.852466131058,12974.0,13292.0,0.0945,15.6,0.1934405173540185,4.0,True,12971.0,13147.0,0.969,6112159.775156984,4.53,0.0,15537.0
21,13732.334657461091,2011-12-01 21:00:00,11343.796976136138,585.10316790983,372.4457122616703,578.6556031424052,False,0.9,0.39,7500.852466131058,12323.0,12954.0,0.0945,15.6,0.1934405173540185,4.0,True,12415.0,12499.0,0.969,6112159.775156984,4.53,0.0,14481.0
22,13003.703850621998,2011-12-01 22:00:00,11343.795070973774,-285.4954973372744,372.6905453760249,579.9307039378676,False,0.9,0.39,7500.852466131058,11663.0,12195.0,0.0945,15.6,0.1934405173540185,4.0,True,11707.0,11736.0,0.969,6112159.775156984,4.53,0.0,13256.0
23,12168.138522089666,2011-12-01 23:00:00,11343.793165811408,-1280.861720418011,373.6342972486621,581.2014681642455,False,0.9,0.39,7500.852466131058,10918.0,11534.0,0.0945,15.6,0.1934405173540185,4.0,True,10745.0,10632.0,0.969,6112159.775156984,4.53,0.0,12228.0
24,11390.974439543634,2011-12-02 00:00:00,11343.791260649044,-2220.3238220771927,375.1265012037962,582.467868385851,False,3.1,0.39,7541.721929680507,10120.0,10746.0,0.0945,18.1,0.2874994150372913,4.0,True,9949.0,9844.0,0.969,6112159.775156984,4.53,0.0,11205.0
25,10752.327590398247,2011-12-02 01:00:00,11343.789355486679,-2982.9389985666103,376.99106463745505,583.7298772055756,False,3.1,0.39,7541.721929680507,9527.0,9916.0,0.0945,18.1,0.2874994150372913,4.0,True,9503.0,9459.0,0.969,6112159.775156984,4.53,0.0,10428.0
26,10283.13348970966,2011-12-02 02:00:00,11343.787450324315,-3534.2853504211375,379.027629777772,584.9874672659132,False,3.1,0.39,7541.721929680507,9172.0,9217.0,0.0945,18.1,0.2874994150372913,4.0,True,9340.0,9285.0,0.969,6112159.775156984,4.53,0.0,10145.0
27,10010.78522791174,2011-12-02 03:00:00,11343.785545161947,-3850.574971117091,381.01333668200283,586.2406112501532,False,3.1,0.39,7541.721929680507,9007.0,8831.0,0.0945,18.1,0.2874994150372913,4.0,True,9275.0,9248.0,0.969,6112159.775156984,4.53,0.0,10059.0
28,10042.382397212268,2011-12-02 04:00:00,11343.783639999583,-3834.0837218539405,382.7049729815151,587.489281883306,False,3.1,0.39,7541.721929680507,8910.0,8655.0,0.0945,18.1,0.2874994150372913,4.0,True,9319.0,9310.0,0.969,6112159.775156984,4.53,0.0,10069.0
29,10517.331748276043,2011-12-02 05:00:00,11343.781734837217,-3334.2957076261337,383.84148943962816,588.733451933924,False,3.1,0.39,7541.721929680507,8882.0,8578.0,0.0945,18.1,0.2874994150372913,4.0,True,9686.0,9716.0,0.969,6112159.775156984,4.53,0.0,10373.0
30,11439.444393044423,2011-12-02 06:00:00,11343.779829674851,-2285.3363340526034,384.14685519073544,589.9730942144693,False,3.1,0.39,7541.721929680507,8998.0,8565.0,0.0945,18.1,0.2874994150372913,4.0,True,11052.0,11078.0,0.969,6112159.775156984,4.53,0.0,11758.0
31,12677.064603538935,2011-12-02 07:00:00,11343.777924512488,-840.7667259763823,383.3332216262507,591.2081815832614,False,3.1,0.39,7541.721929680507,9212.0,8734.0,0.0945,18.1,0.2874994150372913,4.0,True,13091.0,13215.0,0.969,6112159.775156984,4.53,0.0,14222.0
32,14016.21031612029,2011-12-02 08:00:00,11343.776019350122,636.2207461116768,381.1043593245097,592.4386869449826,False,3.1,0.39,7541.721929680507,9819.0,9034.0,0.0945,18.1,0.2874994150372913,4.0,True,14173.0,14413.0,0.969,6112159.775156984,4.53,0.0,15753.0
33,15012.225678307637,2011-12-02 09:00:00,11343.774114187758,1752.4096419187706,377.15932832509804,593.6645832521319,False,3.1,0.39,7541.721929680507,10642.0,9603.0,0.0945,18.1,0.2874994150372913,4.0,True,14761.0,14986.0,0.969,6112159.775156984,4.53,0.0,16239.0
34,15462.909280531225,2011-12-02 10:00:00,11343.772209025392,2306.289606319074,371.19633832189317,594.8858435063479,False,3.1,0.39,7541.721929680507,11175.0,10394.0,0.0945,18.1,0.2874994150372913,4.0,True,15014.0,15198.0,0.969,6112159.775156984,4.53,0.0,16306.0
35,15452.852751947818,2011-12-02 11:00:00,11343.770303863028,2379.0846192320196,362.91675236750154,596.1024407595236,False,3.1,0.39,7541.721929680507,11461.0,10944.0,0.0945,18.1,0.2874994150372913,4.0,True,15285.0,15380.0,0.969,6112159.775156984,4.53,0.0,16311.0
36,15271.766701875795,2011-12-02 12:00:00,11343.76839870066,2230.1503346988684,352.0291849176021,597.3143481145368,False,3.1,0.39,7541.721929680507,11557.0,11208.0,0.0945,18.1,0.2874994150372913,4.0,True,15275.0,15338.0,0.969,6112159.775156984,4.53,0.0,15961.0
37,15102.828321533278,2011-12-02 13:00:00,11343.766493538296,2094.561241357363,338.25364329803887,598.5215387272191,False,3.1,0.39,7541.721929680507,11438.0,11331.0,0.0945,18.1,0.2874994150372913,4.0,True,15420.0,15558.0,0.969,6112159.775156984,4.53,0.0,15822.0
38,15060.075942035757,2011-12-02 14:00:00,11343.76458837593,2050.125785678019,321.3256602251388,599.7239858068068,False,3.1,0.39,7541.721929680507,11242.0,11213.0,0.0945,18.1,0.2874994150372913,4.0,True,15378.0,15512.0,0.969,6112159.775156984,4.53,0.0,15650.0
