jobname,jobid,fold,variant,epoch,hours,filename,epoch_hours,cum_hours
err,12191775,1,quantum,1,1.445,err_12191775_1.err,1.445,1.445
err,12191775,1,quantum,2,1.4513888888888888,err_12191775_1.err,1.4513888888888888,2.8963888888888887
err,12191775,1,quantum,3,1.4647222222222223,err_12191775_1.err,1.4647222222222223,4.361111111111111
err,12191775,1,quantum,4,1.4625,err_12191775_1.err,1.4625,5.823611111111111
err,12191775,1,quantum,5,1.4638888888888888,err_12191775_1.err,1.4638888888888888,7.2875
err,12191775,1,quantum,6,1.4530555555555555,err_12191775_1.err,1.4530555555555555,8.740555555555556
err,12191775,1,quantum,7,1.4572222222222222,err_12191775_1.err,1.4572222222222222,10.197777777777777
err,12191775,1,quantum,8,1.4566666666666668,err_12191775_1.err,1.4566666666666668,11.654444444444444
err,12191775,2,quantum,1,2.4408333333333334,err_12191775_2.err,2.4408333333333334,2.4408333333333334
err,12191775,2,quantum,2,2.477777777777778,err_12191775_2.err,2.477777777777778,4.918611111111112
err,12191775,2,quantum,3,2.4963888888888888,err_12191775_2.err,2.4963888888888888,7.415
err,12191775,2,quantum,4,2.453888888888889,err_12191775_2.err,2.453888888888889,9.86888888888889
err,12191775,2,quantum,5,2.4494444444444445,err_12191775_2.err,2.4494444444444445,12.318333333333333
err,12191775,2,quantum,6,2.451388888888889,err_12191775_2.err,2.451388888888889,14.769722222222223
err,12191775,2,quantum,7,2.453611111111111,err_12191775_2.err,2.453611111111111,17.223333333333333
err,12191775,2,quantum,8,2.456111111111111,err_12191775_2.err,2.456111111111111,19.679444444444442
err,12191775,2,quantum,9,2.457222222222222,err_12191775_2.err,2.457222222222222,22.136666666666667
err,12191775,2,quantum,10,2.460277777777778,err_12191775_2.err,2.460277777777778,24.596944444444443
err,12191775,2,quantum,11,2.4625,err_12191775_2.err,2.4625,27.059444444444445
err,12191775,3,classical,1,0.0005555555555555556,err_12191775_3.err,0.0005555555555555556,0.0005555555555555556
err,12191775,3,quantum,1,3.41,err_12191775_3.err,3.41,3.41
err,12191775,3,quantum,2,3.455,err_12191775_3.err,3.455,6.865
err,12191775,3,quantum,3,3.4611111111111112,err_12191775_3.err,3.4611111111111112,10.32611111111111
err,12191775,3,quantum,4,3.4519444444444445,err_12191775_3.err,3.4519444444444445,13.778055555555556
err,12191775,3,quantum,5,3.459722222222222,err_12191775_3.err,3.459722222222222,17.23777777777778
err,12191775,3,quantum,6,3.466388888888889,err_12191775_3.err,3.466388888888889,20.704166666666666
err,12191775,3,quantum,7,3.4694444444444446,err_12191775_3.err,3.4694444444444446,24.17361111111111
err,12191775,4,quantum,1,4.501944444444445,err_12191775_4.err,4.501944444444445,4.501944444444445
err,12191775,4,quantum,2,4.440555555555555,err_12191775_4.err,4.440555555555555,8.942499999999999
err,12191775,4,quantum,3,4.310555555555555,err_12191775_4.err,4.310555555555555,13.253055555555555
err,12191775,4,quantum,4,4.317222222222222,err_12191775_4.err,4.317222222222222,17.570277777777775
err,12191775,4,quantum,5,4.32,err_12191775_4.err,4.32,21.890277777777776
err,12191775,4,quantum,6,4.3116666666666665,err_12191775_4.err,4.3116666666666665,26.201944444444443
err,12191775,4,quantum,7,4.322777777777778,err_12191775_4.err,4.322777777777778,30.524722222222223
err,12191775,5,classical,2,0.0005555555555555556,err_12191775_5.err,0.0005555555555555556,0.0005555555555555556
err,12191775,5,classical,5,0.0005555555555555556,err_12191775_5.err,0.0005555555555555556,0.0011111111111111111
err,12191775,5,quantum,1,5.355,err_12191775_5.err,5.355,5.355
err,12191775,5,quantum,2,5.402777777777778,err_12191775_5.err,5.402777777777778,10.757777777777779
err,12191775,5,quantum,3,5.385555555555555,err_12191775_5.err,5.385555555555555,16.143333333333334
err,12191775,5,quantum,4,5.391666666666667,err_12191775_5.err,5.391666666666667,21.535
err,12191775,5,quantum,5,5.447777777777778,err_12191775_5.err,5.447777777777778,26.982777777777777
err,12191775,5,quantum,6,5.370833333333334,err_12191775_5.err,5.370833333333334,32.353611111111114
err,12191775,5,quantum,7,5.388333333333334,err_12191775_5.err,5.388333333333334,37.74194444444444
err,12191775,5,quantum,8,5.378055555555555,err_12191775_5.err,5.378055555555555,43.12
err,12191775,6,classical,3,0.0008333333333333334,err_12191775_6.err,0.0008333333333333334,0.0008333333333333334
err,12191775,6,classical,4,0.0008333333333333334,err_12191775_6.err,0.0008333333333333334,0.0016666666666666668
err,12191775,6,classical,5,0.0008333333333333334,err_12191775_6.err,0.0008333333333333334,0.0025
err,12191775,6,quantum,1,6.498611111111111,err_12191775_6.err,6.498611111111111,6.498611111111111
err,12191775,6,quantum,2,6.455277777777778,err_12191775_6.err,6.455277777777778,12.953888888888889
err,12191775,6,quantum,3,6.4375,err_12191775_6.err,6.4375,19.39138888888889
err,12191775,6,quantum,4,6.504722222222222,err_12191775_6.err,6.504722222222222,25.89611111111111
err,12191775,6,quantum,5,6.570833333333334,err_12191775_6.err,6.570833333333334,32.466944444444444
err,12191775,6,quantum,6,6.489166666666667,err_12191775_6.err,6.489166666666667,38.95611111111111
err,12191775,7,quantum,1,7.518888888888889,err_12191775_7.err,7.518888888888889,7.518888888888889
err,12191775,7,quantum,2,7.480277777777777,err_12191775_7.err,7.480277777777777,14.999166666666667
err,12191775,7,quantum,3,7.504722222222222,err_12191775_7.err,7.504722222222222,22.503888888888888
err,12191775,7,quantum,4,7.521111111111111,err_12191775_7.err,7.521111111111111,30.025
err,12191775,7,quantum,5,7.5441666666666665,err_12191775_7.err,7.5441666666666665,37.56916666666667
err,12191775,7,quantum,6,7.560277777777777,err_12191775_7.err,7.560277777777777,45.129444444444445
err,12191775,8,classical,1,0.0011111111111111111,err_12191775_8.err,0.0011111111111111111,0.0011111111111111111
err,12191775,8,quantum,1,8.251388888888888,err_12191775_8.err,8.251388888888888,8.251388888888888
err,12191775,8,quantum,2,8.359166666666667,err_12191775_8.err,8.359166666666667,16.610555555555557
err,12191775,8,quantum,3,8.408611111111112,err_12191775_8.err,8.408611111111112,25.019166666666667
err,12191775,8,quantum,4,8.431944444444444,err_12191775_8.err,8.431944444444444,33.45111111111111
err,12191775,8,quantum,5,8.460555555555555,err_12191775_8.err,8.460555555555555,41.91166666666666
err,12191775,8,quantum,6,8.612777777777778,err_12191775_8.err,8.612777777777778,50.52444444444444
err,12191775,9,classical,1,0.001388888888888889,err_12191775_9.err,0.001388888888888889,0.001388888888888889
err,12191775,9,quantum,1,9.275555555555556,err_12191775_9.err,9.275555555555556,9.275555555555556
err,12191775,9,quantum,2,9.285,err_12191775_9.err,9.285,18.560555555555556
err,12191775,9,quantum,3,9.405277777777778,err_12191775_9.err,9.405277777777778,27.965833333333336
err,12191775,9,quantum,4,9.425833333333333,err_12191775_9.err,9.425833333333333,37.391666666666666
err,12191775,9,quantum,5,9.48611111111111,err_12191775_9.err,9.48611111111111,46.87777777777778
err,12191775,9,quantum,6,9.478055555555555,err_12191775_9.err,9.478055555555555,56.35583333333334
err,12268729,10,classical,1,0.001388888888888889,err_12268729_10.err,0.001388888888888889,0.001388888888888889
err,12191775,10,quantum,1,10.553611111111111,err_12191775_10.err,10.553611111111111,10.553611111111111
err,12191775,10,quantum,2,10.59388888888889,err_12191775_10.err,10.59388888888889,21.1475
err,12191775,10,quantum,3,10.609444444444444,err_12191775_10.err,10.609444444444444,31.756944444444443
err,12191775,10,quantum,4,10.695,err_12191775_10.err,10.695,42.45194444444444
err,12191775,10,quantum,5,10.721111111111112,err_12191775_10.err,10.721111111111112,53.17305555555556
err,12191775,10,quantum,6,10.75388888888889,err_12191775_10.err,10.75388888888889,63.926944444444445
err,12191775,11,classical,1,0.0016666666666666668,err_12191775_11.err,0.0016666666666666668,0.0016666666666666668
err,12191775,11,quantum,1,11.345277777777778,err_12191775_11.err,11.345277777777778,11.345277777777778
err,12191775,11,quantum,2,11.52138888888889,err_12191775_11.err,11.52138888888889,22.866666666666667
err,12191775,11,quantum,3,11.6225,err_12191775_11.err,11.6225,34.48916666666667
err,12191775,11,quantum,4,11.734444444444444,err_12191775_11.err,11.734444444444444,46.22361111111111
err,12191775,11,quantum,5,11.592222222222222,err_12191775_11.err,11.592222222222222,57.81583333333333
err,12191775,11,quantum,6,11.618055555555555,err_12191775_11.err,11.618055555555555,69.43388888888889
err,12191775,12,classical,2,0.0016666666666666668,err_12191775_12.err,0.0016666666666666668,0.0016666666666666668
err,12191775,12,classical,3,0.0016666666666666668,err_12191775_12.err,0.0016666666666666668,0.0033333333333333335
err,12191775,12,classical,4,0.0016666666666666668,err_12191775_12.err,0.0016666666666666668,0.005
err,12191775,12,classical,5,0.0016666666666666668,err_12191775_12.err,0.0016666666666666668,0.006666666666666667
err,12191775,12,classical,6,0.0016666666666666668,err_12191775_12.err,0.0016666666666666668,0.008333333333333333
err,12191775,12,quantum,1,12.194722222222222,err_12191775_12.err,12.194722222222222,12.194722222222222
err,12191775,12,quantum,2,12.317222222222222,err_12191775_12.err,12.317222222222222,24.511944444444445
err,12191775,12,quantum,3,12.391666666666667,err_12191775_12.err,12.391666666666667,36.90361111111111
err,12191775,12,quantum,4,12.436111111111112,err_12191775_12.err,12.436111111111112,49.33972222222222
err,12191775,12,quantum,5,12.465833333333334,err_12191775_12.err,12.465833333333334,61.80555555555556
err,12191775,12,quantum,6,12.489166666666666,err_12191775_12.err,12.489166666666666,74.29472222222222
err,12191775,12,quantum,7,12.496944444444445,err_12191775_12.err,12.496944444444445,86.79166666666667
err,12191775,12,quantum,8,12.487222222222222,err_12191775_12.err,12.487222222222222,99.27888888888889
err,12256827,13,classical,2,0.0019444444444444444,err_12256827_13.err,0.0019444444444444444,0.0019444444444444444
err,12256827,13,classical,3,0.0019444444444444444,err_12256827_13.err,0.0019444444444444444,0.0038888888888888888
err,12256827,13,classical,4,0.0019444444444444444,err_12256827_13.err,0.0019444444444444444,0.005833333333333333
err,12256827,13,classical,5,0.0019444444444444444,err_12256827_13.err,0.0019444444444444444,0.0077777777777777776
err,12256827,13,classical,6,0.0019444444444444444,err_12256827_13.err,0.0019444444444444444,0.009722222222222222
err,12256827,13,classical,7,0.0019444444444444444,err_12256827_13.err,0.0019444444444444444,0.011666666666666665
err,12256827,13,quantum,1,13.567222222222222,err_12256827_13.err,13.567222222222222,13.567222222222222
err,12256827,13,quantum,2,13.508055555555556,err_12256827_13.err,13.508055555555556,27.075277777777778
err,12256827,13,quantum,3,13.45861111111111,err_12256827_13.err,13.45861111111111,40.53388888888889
err,12256827,13,quantum,4,13.5,err_12256827_13.err,13.5,54.03388888888889
err,12256827,13,quantum,5,13.53111111111111,err_12256827_13.err,13.53111111111111,67.565
err,12256827,13,quantum,6,13.46,err_12256827_13.err,13.46,81.025
