epoch,learning_rate,rmse,mape,pcc
1,0.001333,2679.4534,20.6150,-0.0157
2,0.001333,2706.6653,20.8581,0.0228
3,0.002000,2546.7676,19.2958,0.0238
4,0.002000,2505.2278,18.6400,-0.0057
5,0.002000,2521.2854,18.9440,0.0158
6,0.002000,2541.4412,19.2284,0.0165
7,0.002000,2589.0945,19.7721,0.0162
8,0.001000,2642.6782,20.2921,-0.0097
9,0.001000,2703.9321,20.8348,-0.0046
