"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"02.01.2024 00:30 - 02.01.2024 00:45","10186","11362"
"02.01.2024 00:45 - 02.01.2024 01:00","10055","11204"
"02.01.2024 01:00 - 02.01.2024 01:15","9969","11139"
"02.01.2024 01:15 - 02.01.2024 01:30","9922","11081"
"02.01.2024 01:30 - 02.01.2024 01:45","9795","10993"
"02.01.2024 01:45 - 02.01.2024 02:00","9697","10970"
"02.01.2024 02:00 - 02.01.2024 02:15","9619","10904"
"02.01.2024 02:15 - 02.01.2024 02:30","9581","10897"
"02.01.2024 02:30 - 02.01.2024 02:45","9488","10868"
"02.01.2024 02:45 - 02.01.2024 03:00","9459","10808"
"02.01.2024 03:00 - 02.01.2024 03:15","9434","10838"
"02.01.2024 03:15 - 02.01.2024 03:30","9365","10808"
"02.01.2024 03:30 - 02.01.2024 03:45","9351","10812"
"02.01.2024 03:45 - 02.01.2024 04:00","9323","10801"
"02.01.2024 04:00 - 02.01.2024 04:15","9426","10820"
"02.01.2024 04:15 - 02.01.2024 04:30","9511","10875"
"02.01.2024 04:30 - 02.01.2024 04:45","9481","10896"
"02.01.2024 04:45 - 02.01.2024 05:00","9489","10966"
"02.01.2024 05:00 - 02.01.2024 05:15","9605","11110"
"02.01.2024 05:15 - 02.01.2024 05:30","9746","11232"
"02.01.2024 05:30 - 02.01.2024 05:45","9851","11376"
"02.01.2024 05:45 - 02.01.2024 06:00","9983","11566"
"02.01.2024 06:00 - 02.01.2024 06:15","10286","11955"
"02.01.2024 06:15 - 02.01.2024 06:30","10645","12205"
"02.01.2024 06:30 - 02.01.2024 06:45","10931","12479"
"02.01.2024 06:45 - 02.01.2024 07:00","11240","12729"
"02.01.2024 07:00 - 02.01.2024 07:15","11661","13229"
"02.01.2024 07:15 - 02.01.2024 07:30","11993","13576"
"02.01.2024 07:30 - 02.01.2024 07:45","12269","13919"
"02.01.2024 07:45 - 02.01.2024 08:00","12528","14278"
"02.01.2024 08:00 - 02.01.2024 08:15","12726","14632"
"02.01.2024 08:15 - 02.01.2024 08:30","12985","14934"
"02.01.2024 08:30 - 02.01.2024 08:45","13198","15153"
"02.01.2024 08:45 - 02.01.2024 09:00","13366","15348"
"02.01.2024 09:00 - 02.01.2024 09:15","13471","15484"
"02.01.2024 09:15 - 02.01.2024 09:30","13532","15592"
"02.01.2024 09:30 - 02.01.2024 09:45","13555","15672"
"02.01.2024 09:45 - 02.01.2024 10:00","13538","15690"
"02.01.2024 10:00 - 02.01.2024 10:15","13590","15636"
"02.01.2024 10:15 - 02.01.2024 10:30","13553","15563"
"02.01.2024 10:30 - 02.01.2024 10:45","13368","15529"
"02.01.2024 10:45 - 02.01.2024 11:00","13283","15555"
"02.01.2024 11:00 - 02.01.2024 11:15","13290","15593"
"02.01.2024 11:15 - 02.01.2024 11:30","13202","15637"
"02.01.2024 11:30 - 02.01.2024 11:45","13182","15705"
"02.01.2024 11:45 - 02.01.2024 12:00","13186","15769"
"02.01.2024 12:00 - 02.01.2024 12:15","13325","15863"
"02.01.2024 12:15 - 02.01.2024 12:30","13402","15987"
"02.01.2024 12:30 - 02.01.2024 12:45","13483","15984"
"02.01.2024 12:45 - 02.01.2024 13:00","13575","16011"
"02.01.2024 13:00 - 02.01.2024 13:15","13663","16037"
"02.01.2024 13:15 - 02.01.2024 13:30","13726","16064"
"02.01.2024 13:30 - 02.01.2024 13:45","13719","16069"
"02.01.2024 13:45 - 02.01.2024 14:00","13743","16068"
"02.01.2024 14:00 - 02.01.2024 14:15","13928","16039"
"02.01.2024 14:15 - 02.01.2024 14:30","14165","16012"
"02.01.2024 14:30 - 02.01.2024 14:45","14332","16043"
"02.01.2024 14:45 - 02.01.2024 15:00","14435","16043"
"02.01.2024 15:00 - 02.01.2024 15:15","14459","16083"
"02.01.2024 15:15 - 02.01.2024 15:30","14606","16121"
"02.01.2024 15:30 - 02.01.2024 15:45","14666","16216"
"02.01.2024 15:45 - 02.01.2024 16:00","14713","16276"
"02.01.2024 16:00 - 02.01.2024 16:15","14770","16355"
"02.01.2024 16:15 - 02.01.2024 16:30","14982","16414"
"02.01.2024 16:30 - 02.01.2024 16:45","15096","16536"
"02.01.2024 16:45 - 02.01.2024 17:00","15181","16793"
"02.01.2024 17:00 - 02.01.2024 17:15","15274","16942"
"02.01.2024 17:15 - 02.01.2024 17:30","15280","17054"
"02.01.2024 17:30 - 02.01.2024 17:45","15399","17115"
"02.01.2024 17:45 - 02.01.2024 18:00","15451","17042"
"02.01.2024 18:00 - 02.01.2024 18:15","15351","16743"
"02.01.2024 18:15 - 02.01.2024 18:30","15232","16508"
"02.01.2024 18:30 - 02.01.2024 18:45","15094","16348"
"02.01.2024 18:45 - 02.01.2024 19:00","14952","16199"
"02.01.2024 19:00 - 02.01.2024 19:15","14755","15982"
"02.01.2024 19:15 - 02.01.2024 19:30","14601","15828"
"02.01.2024 19:30 - 02.01.2024 19:45","14479","15641"
"02.01.2024 19:45 - 02.01.2024 20:00","14356","15585"
"02.01.2024 20:00 - 02.01.2024 20:15","14117","15272"
"02.01.2024 20:15 - 02.01.2024 20:30","13977","15108"
"02.01.2024 20:30 - 02.01.2024 20:45","13852","14948"
"02.01.2024 20:45 - 02.01.2024 21:00","13699","14785"
"02.01.2024 21:00 - 02.01.2024 21:15","13457","14532"
"02.01.2024 21:15 - 02.01.2024 21:30","13282","14395"
"02.01.2024 21:30 - 02.01.2024 21:45","13147","14222"
"02.01.2024 21:45 - 02.01.2024 22:00","12998","14011"
"02.01.2024 22:00 - 02.01.2024 22:15","12729","13728"
"02.01.2024 22:15 - 02.01.2024 22:30","12499","13538"
"02.01.2024 22:30 - 02.01.2024 22:45","12373","13347"
"02.01.2024 22:45 - 02.01.2024 23:00","12144","13150"
"02.01.2024 23:00 - 02.01.2024 23:15","12012","12883"
"02.01.2024 23:15 - 02.01.2024 23:30","11885","12689"
"02.01.2024 23:30 - 02.01.2024 23:45","11772","12525"
"02.01.2024 23:45 - 03.01.2024 00:00","11593","12404"
"03.01.2024 00:00 - 03.01.2024 00:15","11403","12305"
"03.01.2024 00:15 - 03.01.2024 00:30","11494","12042"
"03.01.2024 00:30 - 03.01.2024 00:45","11366","12000"
"03.01.2024 00:45 - 03.01.2024 01:00","11220","11936"
"03.01.2024 01:00 - 03.01.2024 01:15","11079","11658"
"03.01.2024 01:15 - 03.01.2024 01:30","10966","11587"
"03.01.2024 01:30 - 03.01.2024 01:45","10876","11586"
"03.01.2024 01:45 - 03.01.2024 02:00","10752","11561"
"03.01.2024 02:00 - 03.01.2024 02:15","10648","11439"
"03.01.2024 02:15 - 03.01.2024 02:30","10598","11387"
"03.01.2024 02:30 - 03.01.2024 02:45","10572","11394"
"03.01.2024 02:45 - 03.01.2024 03:00","10499","11380"
"03.01.2024 03:00 - 03.01.2024 03:15","10427","11420"
"03.01.2024 03:15 - 03.01.2024 03:30","10420","11450"
"03.01.2024 03:30 - 03.01.2024 03:45","10389","11363"
"03.01.2024 03:45 - 03.01.2024 04:00","10341","11299"
"03.01.2024 04:00 - 03.01.2024 04:15","10326","11309"
"03.01.2024 04:15 - 03.01.2024 04:30","10343","11310"
"03.01.2024 04:30 - 03.01.2024 04:45","10321","11362"
"03.01.2024 04:45 - 03.01.2024 05:00","10322","11405"
"03.01.2024 05:00 - 03.01.2024 05:15","10358","11562"
"03.01.2024 05:15 - 03.01.2024 05:30","10447","11698"
"03.01.2024 05:30 - 03.01.2024 05:45","10533","11832"
"03.01.2024 05:45 - 03.01.2024 06:00","10662","11962"
"03.01.2024 06:00 - 03.01.2024 06:15","10865","12397"
"03.01.2024 06:15 - 03.01.2024 06:30","11188","12724"
"03.01.2024 06:30 - 03.01.2024 06:45","11408","12984"
"03.01.2024 06:45 - 03.01.2024 07:00","11602","13271"
"03.01.2024 07:00 - 03.01.2024 07:15","11847","13705"
"03.01.2024 07:15 - 03.01.2024 07:30","12251","14076"
"03.01.2024 07:30 - 03.01.2024 07:45","12626","14441"
"03.01.2024 07:45 - 03.01.2024 08:00","12987","14728"
"03.01.2024 08:00 - 03.01.2024 08:15","13328","15197"
"03.01.2024 08:15 - 03.01.2024 08:30","13660","15419"
"03.01.2024 08:30 - 03.01.2024 08:45","13882","15641"
"03.01.2024 08:45 - 03.01.2024 09:00","14043","15819"
"03.01.2024 09:00 - 03.01.2024 09:15","14086","15934"
"03.01.2024 09:15 - 03.01.2024 09:30","14169","16117"
"03.01.2024 09:30 - 03.01.2024 09:45","14169","16140"
"03.01.2024 09:45 - 03.01.2024 10:00","14146","16142"
"03.01.2024 10:00 - 03.01.2024 10:15","14119","16115"
"03.01.2024 10:15 - 03.01.2024 10:30","14085","16091"
"03.01.2024 10:30 - 03.01.2024 10:45","14018","16009"
"03.01.2024 10:45 - 03.01.2024 11:00","13919","15965"
"03.01.2024 11:00 - 03.01.2024 11:15","13824","15897"
"03.01.2024 11:15 - 03.01.2024 11:30","13743","15828"
"03.01.2024 11:30 - 03.01.2024 11:45","13633","15805"
"03.01.2024 11:45 - 03.01.2024 12:00","13586","15847"
"03.01.2024 12:00 - 03.01.2024 12:15","13531","15903"
"03.01.2024 12:15 - 03.01.2024 12:30","13445","15905"
"03.01.2024 12:30 - 03.01.2024 12:45","13513","15835"
"03.01.2024 12:45 - 03.01.2024 13:00","13482","15889"
"03.01.2024 13:00 - 03.01.2024 13:15","13483","15929"
"03.01.2024 13:15 - 03.01.2024 13:30","13517","15901"
"03.01.2024 13:30 - 03.01.2024 13:45","13587","15847"
"03.01.2024 13:45 - 03.01.2024 14:00","13682","15819"
"03.01.2024 14:00 - 03.01.2024 14:15","13810","15820"
"03.01.2024 14:15 - 03.01.2024 14:30","13815","15890"
"03.01.2024 14:30 - 03.01.2024 14:45","13766","15872"
"03.01.2024 14:45 - 03.01.2024 15:00","13794","15965"
"03.01.2024 15:00 - 03.01.2024 15:15","13785","15972"
"03.01.2024 15:15 - 03.01.2024 15:30","13723","16095"
"03.01.2024 15:30 - 03.01.2024 15:45","13732","16226"
"03.01.2024 15:45 - 03.01.2024 16:00","13758","16306"
"03.01.2024 16:00 - 03.01.2024 16:15","13906","16400"
"03.01.2024 16:15 - 03.01.2024 16:30","13895","16506"
"03.01.2024 16:30 - 03.01.2024 16:45","13969","16617"
"03.01.2024 16:45 - 03.01.2024 17:00","14063","16930"
"03.01.2024 17:00 - 03.01.2024 17:15","14139","17040"
"03.01.2024 17:15 - 03.01.2024 17:30","14106","17272"
"03.01.2024 17:30 - 03.01.2024 17:45","14130","17365"
"03.01.2024 17:45 - 03.01.2024 18:00","14100","17310"
"03.01.2024 18:00 - 03.01.2024 18:15","13948","16938"
"03.01.2024 18:15 - 03.01.2024 18:30","13632","16636"
"03.01.2024 18:30 - 03.01.2024 18:45","13384","16452"
"03.01.2024 18:45 - 03.01.2024 19:00","13191","16318"
"03.01.2024 19:00 - 03.01.2024 19:15","13031","16185"
"03.01.2024 19:15 - 03.01.2024 19:30","12829","16016"
"03.01.2024 19:30 - 03.01.2024 19:45","12638","15847"
"03.01.2024 19:45 - 03.01.2024 20:00","12510","15760"
"03.01.2024 20:00 - 03.01.2024 20:15","12481","15581"
"03.01.2024 20:15 - 03.01.2024 20:30","12464","15433"
"03.01.2024 20:30 - 03.01.2024 20:45","12319","15225"
"03.01.2024 20:45 - 03.01.2024 21:00","12123","15041"
"03.01.2024 21:00 - 03.01.2024 21:15","12008","14830"
"03.01.2024 21:15 - 03.01.2024 21:30","11947","14671"
"03.01.2024 21:30 - 03.01.2024 21:45","11830","14460"
"03.01.2024 21:45 - 03.01.2024 22:00","11717","14263"
"03.01.2024 22:00 - 03.01.2024 22:15","11611","14018"
"03.01.2024 22:15 - 03.01.2024 22:30","11436","13841"
"03.01.2024 22:30 - 03.01.2024 22:45","11304","13647"
"03.01.2024 22:45 - 03.01.2024 23:00","11156","13426"
"03.01.2024 23:00 - 03.01.2024 23:15","11010","13283"
"03.01.2024 23:15 - 03.01.2024 23:30","10848","13060"
"03.01.2024 23:30 - 03.01.2024 23:45","10701","12842"
"03.01.2024 23:45 - 04.01.2024 00:00","10533","12695"
"04.01.2024 00:00 - 04.01.2024 00:15","10465","12510"
"04.01.2024 00:15 - 04.01.2024 00:30","10507","12421"
"04.01.2024 00:30 - 04.01.2024 00:45","10388","12319"
"04.01.2024 00:45 - 04.01.2024 01:00","10359","12222"
"04.01.2024 01:00 - 04.01.2024 01:15","10267","12152"
"04.01.2024 01:15 - 04.01.2024 01:30","10177","12064"
"04.01.2024 01:30 - 04.01.2024 01:45","10072","11963"
"04.01.2024 01:45 - 04.01.2024 02:00","10000","11860"
"04.01.2024 02:00 - 04.01.2024 02:15","9889","11760"
"04.01.2024 02:15 - 04.01.2024 02:30","9767","11665"
"04.01.2024 02:30 - 04.01.2024 02:45","9752","11571"
"04.01.2024 02:45 - 04.01.2024 03:00","9721","11516"
"04.01.2024 03:00 - 04.01.2024 03:15","9679","11555"
"04.01.2024 03:15 - 04.01.2024 03:30","9676","11555"
"04.01.2024 03:30 - 04.01.2024 03:45","9667","11540"
"04.01.2024 03:45 - 04.01.2024 04:00","9645","11474"
"04.01.2024 04:00 - 04.01.2024 04:15","9716","11486"
"04.01.2024 04:15 - 04.01.2024 04:30","9793","11462"
"04.01.2024 04:30 - 04.01.2024 04:45","9815","11484"
"04.01.2024 04:45 - 04.01.2024 05:00","9814","11516"
"04.01.2024 05:00 - 04.01.2024 05:15","9866","11581"
"04.01.2024 05:15 - 04.01.2024 05:30","9988","11703"
"04.01.2024 05:30 - 04.01.2024 05:45","10122","11844"
"04.01.2024 05:45 - 04.01.2024 06:00","10258","11943"
"04.01.2024 06:00 - 04.01.2024 06:15","10471","12383"
"04.01.2024 06:15 - 04.01.2024 06:30","10749","12634"
"04.01.2024 06:30 - 04.01.2024 06:45","10952","12865"
"04.01.2024 06:45 - 04.01.2024 07:00","11150","13179"
"04.01.2024 07:00 - 04.01.2024 07:15","11448","13774"
"04.01.2024 07:15 - 04.01.2024 07:30","11845","14160"
"04.01.2024 07:30 - 04.01.2024 07:45","12207","14546"
"04.01.2024 07:45 - 04.01.2024 08:00","12456","14892"
"04.01.2024 08:00 - 04.01.2024 08:15","12776","15283"
"04.01.2024 08:15 - 04.01.2024 08:30","13143","15571"
"04.01.2024 08:30 - 04.01.2024 08:45","13425","15814"
"04.01.2024 08:45 - 04.01.2024 09:00","13595","15997"
"04.01.2024 09:00 - 04.01.2024 09:15","13709","16142"
"04.01.2024 09:15 - 04.01.2024 09:30","13804","16256"
"04.01.2024 09:30 - 04.01.2024 09:45","13774","16303"
"04.01.2024 09:45 - 04.01.2024 10:00","13701","16298"
"04.01.2024 10:00 - 04.01.2024 10:15","13609","16258"
"04.01.2024 10:15 - 04.01.2024 10:30","13481","16189"
"04.01.2024 10:30 - 04.01.2024 10:45","13382","16138"
"04.01.2024 10:45 - 04.01.2024 11:00","13320","16075"
"04.01.2024 11:00 - 04.01.2024 11:15","13180","15983"
"04.01.2024 11:15 - 04.01.2024 11:30","12958","15944"
"04.01.2024 11:30 - 04.01.2024 11:45","12977","15879"
"04.01.2024 11:45 - 04.01.2024 12:00","12878","15845"
"04.01.2024 12:00 - 04.01.2024 12:15","12888","15824"
"04.01.2024 12:15 - 04.01.2024 12:30","12810","15773"
"04.01.2024 12:30 - 04.01.2024 12:45","12737","15683"
"04.01.2024 12:45 - 04.01.2024 13:00","12701","15699"
"04.01.2024 13:00 - 04.01.2024 13:15","12745","15706"
"04.01.2024 13:15 - 04.01.2024 13:30","12791","15763"
"04.01.2024 13:30 - 04.01.2024 13:45","12827","15723"
"04.01.2024 13:45 - 04.01.2024 14:00","12861","15661"
"04.01.2024 14:00 - 04.01.2024 14:15","12879","15621"
"04.01.2024 14:15 - 04.01.2024 14:30","12855","15635"
"04.01.2024 14:30 - 04.01.2024 14:45","12905","15639"
"04.01.2024 14:45 - 04.01.2024 15:00","12950","15730"
"04.01.2024 15:00 - 04.01.2024 15:15","13039","15766"
"04.01.2024 15:15 - 04.01.2024 15:30","13205","15792"
"04.01.2024 15:30 - 04.01.2024 15:45","13420","15861"
"04.01.2024 15:45 - 04.01.2024 16:00","13543","15968"
"04.01.2024 16:00 - 04.01.2024 16:15","13709","16039"
"04.01.2024 16:15 - 04.01.2024 16:30","13807","16209"
"04.01.2024 16:30 - 04.01.2024 16:45","13810","16456"
"04.01.2024 16:45 - 04.01.2024 17:00","13900","16772"
"04.01.2024 17:00 - 04.01.2024 17:15","13966","16903"
"04.01.2024 17:15 - 04.01.2024 17:30","13961","17181"
"04.01.2024 17:30 - 04.01.2024 17:45","14024","17286"
"04.01.2024 17:45 - 04.01.2024 18:00","13998","17228"
"04.01.2024 18:00 - 04.01.2024 18:15","13855","16876"
"04.01.2024 18:15 - 04.01.2024 18:30","13581","16614"
"04.01.2024 18:30 - 04.01.2024 18:45","13397","16470"
"04.01.2024 18:45 - 04.01.2024 19:00","13267","16337"
"04.01.2024 19:00 - 04.01.2024 19:15","13115","16150"
"04.01.2024 19:15 - 04.01.2024 19:30","12875","15991"
"04.01.2024 19:30 - 04.01.2024 19:45","12741","15847"
"04.01.2024 19:45 - 04.01.2024 20:00","12703","15791"
"04.01.2024 20:00 - 04.01.2024 20:15","12624","15623"
"04.01.2024 20:15 - 04.01.2024 20:30","12545","15382"
"04.01.2024 20:30 - 04.01.2024 20:45","12471","15201"
"04.01.2024 20:45 - 04.01.2024 21:00","12358","15063"
"04.01.2024 21:00 - 04.01.2024 21:15","12244","14857"
"04.01.2024 21:15 - 04.01.2024 21:30","12120","14661"
"04.01.2024 21:30 - 04.01.2024 21:45","12023","14461"
"04.01.2024 21:45 - 04.01.2024 22:00","11858","14308"
"04.01.2024 22:00 - 04.01.2024 22:15","11708","14026"
"04.01.2024 22:15 - 04.01.2024 22:30","11487","13821"
"04.01.2024 22:30 - 04.01.2024 22:45","11323","13559"
"04.01.2024 22:45 - 04.01.2024 23:00","11175","13380"
"04.01.2024 23:00 - 04.01.2024 23:15","11052","13218"
"04.01.2024 23:15 - 04.01.2024 23:30","10936","13089"
"04.01.2024 23:30 - 04.01.2024 23:45","10825","12901"
"04.01.2024 23:45 - 05.01.2024 00:00","10672","12764"
"05.01.2024 00:00 - 05.01.2024 00:15","10650","12544"
"05.01.2024 00:15 - 05.01.2024 00:30","10693","12423"
"05.01.2024 00:30 - 05.01.2024 00:45","10610","12327"
"05.01.2024 00:45 - 05.01.2024 01:00","10508","12205"
"05.01.2024 01:00 - 05.01.2024 01:15","10376","12132"
"05.01.2024 01:15 - 05.01.2024 01:30","10239","12041"
"05.01.2024 01:30 - 05.01.2024 01:45","10130","11944"
"05.01.2024 01:45 - 05.01.2024 02:00","10058","11817"
"05.01.2024 02:00 - 05.01.2024 02:15","9974","11772"
"05.01.2024 02:15 - 05.01.2024 02:30","9889","11717"
"05.01.2024 02:30 - 05.01.2024 02:45","9864","11652"
"05.01.2024 02:45 - 05.01.2024 03:00","9833","11607"
"05.01.2024 03:00 - 05.01.2024 03:15","9802","11589"
"05.01.2024 03:15 - 05.01.2024 03:30","9809","11540"
"05.01.2024 03:30 - 05.01.2024 03:45","9789","11521"
"05.01.2024 03:45 - 05.01.2024 04:00","9797","11480"
"05.01.2024 04:00 - 05.01.2024 04:15","9797","11513"
"05.01.2024 04:15 - 05.01.2024 04:30","9787","11487"
"05.01.2024 04:30 - 05.01.2024 04:45","9773","11511"
"05.01.2024 04:45 - 05.01.2024 05:00","9777","11553"
"05.01.2024 05:00 - 05.01.2024 05:15","9796","11714"
"05.01.2024 05:15 - 05.01.2024 05:30","9900","11843"
"05.01.2024 05:30 - 05.01.2024 05:45","10013","12008"
"05.01.2024 05:45 - 05.01.2024 06:00","10097","12160"
"05.01.2024 06:00 - 05.01.2024 06:15","10316","12584"
"05.01.2024 06:15 - 05.01.2024 06:30","10640","12806"
"05.01.2024 06:30 - 05.01.2024 06:45","10873","13063"
"05.01.2024 06:45 - 05.01.2024 07:00","11073","13299"
"05.01.2024 07:00 - 05.01.2024 07:15","11360","13738"
"05.01.2024 07:15 - 05.01.2024 07:30","11803","14078"
"05.01.2024 07:30 - 05.01.2024 07:45","12202","14505"
"05.01.2024 07:45 - 05.01.2024 08:00","12437","14893"
"05.01.2024 08:00 - 05.01.2024 08:15","12690","15310"
"05.01.2024 08:15 - 05.01.2024 08:30","13018","15619"
"05.01.2024 08:30 - 05.01.2024 08:45","13229","15876"
"05.01.2024 08:45 - 05.01.2024 09:00","13355","16099"
"05.01.2024 09:00 - 05.01.2024 09:15","13385","16176"
"05.01.2024 09:15 - 05.01.2024 09:30","13420","16219"
"05.01.2024 09:30 - 05.01.2024 09:45","13474","16403"
"05.01.2024 09:45 - 05.01.2024 10:00","13281","16539"
"05.01.2024 10:00 - 05.01.2024 10:15","13253","16601"
"05.01.2024 10:15 - 05.01.2024 10:30","13109","16629"
"05.01.2024 10:30 - 05.01.2024 10:45","13008","16594"
"05.01.2024 10:45 - 05.01.2024 11:00","12928","16558"
"05.01.2024 11:00 - 05.01.2024 11:15","12844","16558"
"05.01.2024 11:15 - 05.01.2024 11:30","12692","16617"
"05.01.2024 11:30 - 05.01.2024 11:45","12584","16584"
"05.01.2024 11:45 - 05.01.2024 12:00","12527","16579"
"05.01.2024 12:00 - 05.01.2024 12:15","12443","16666"
