Date,nat,Year,Month,Day,Hour,Minute
1981-12-14,-0.038481697369893604,1981,12,14,0,0
1981-12-15,-0.038481697369893604,1981,12,15,0,0
1981-12-16,-0.038481697369893604,1981,12,16,0,0
1981-12-17,-0.038481697369893604,1981,12,17,0,0
1981-12-18,-0.038481697369893604,1981,12,18,0,0
1981-12-19,-0.038481697369893604,1981,12,19,0,0
1981-12-20,-0.038481697369893604,1981,12,20,0,0
1981-12-21,-0.1741335825525574,1981,12,21,0,0
1981-12-22,-0.1741335825525574,1981,12,22,0,0
1981-12-23,-0.1741335825525574,1981,12,23,0,0
1981-12-24,-0.1741335825525574,1981,12,24,0,0
1981-12-25,-0.1741335825525574,1981,12,25,0,0
1981-12-26,-0.1741335825525574,1981,12,26,0,0
1981-12-27,-0.1741335825525574,1981,12,27,0,0
1981-12-28,0.03930903828257608,1981,12,28,0,0
1981-12-29,0.03930903828257608,1981,12,29,0,0
1981-12-30,0.03930903828257608,1981,12,30,0,0
1981-12-31,0.03930903828257608,1981,12,31,0,0
1982-01-01,0.03930903828257608,1982,1,1,0,0
1982-01-02,0.03930903828257608,1982,1,2,0,0
1982-01-03,0.03930903828257608,1982,1,3,0,0
1982-01-04,-0.240730037605578,1982,1,4,0,0
1982-01-05,-0.240730037605578,1982,1,5,0,0
1982-01-06,-0.240730037605578,1982,1,6,0,0
1982-01-07,-0.240730037605578,1982,1,7,0,0
1982-01-08,-0.240730037605578,1982,1,8,0,0
1982-01-09,-0.240730037605578,1982,1,9,0,0
1982-01-10,-0.240730037605578,1982,1,10,0,0
1982-01-11,-0.3032717188162612,1982,1,11,0,0
1982-01-12,-0.3032717188162612,1982,1,12,0,0
1982-01-13,-0.3032717188162612,1982,1,13,0,0
1982-01-14,-0.3032717188162612,1982,1,14,0,0
1982-01-15,-0.3032717188162612,1982,1,15,0,0
1982-01-16,-0.3032717188162612,1982,1,16,0,0
1982-01-17,-0.3032717188162612,1982,1,17,0,0
1982-01-18,-0.7913439829329566,1982,1,18,0,0
1982-01-19,-0.7913439829329566,1982,1,19,0,0
1982-01-20,-0.7913439829329566,1982,1,20,0,0
1982-01-21,-0.7913439829329566,1982,1,21,0,0
1982-01-22,-0.7913439829329566,1982,1,22,0,0
1982-01-23,-0.7913439829329566,1982,1,23,0,0
1982-01-24,-0.7913439829329566,1982,1,24,0,0
1982-01-25,-0.02639844676242287,1982,1,25,0,0
1982-01-26,-0.02639844676242287,1982,1,26,0,0
1982-01-27,-0.02639844676242287,1982,1,27,0,0
1982-01-28,-0.02639844676242287,1982,1,28,0,0
1982-01-29,-0.02639844676242287,1982,1,29,0,0
1982-01-30,-0.02639844676242287,1982,1,30,0,0
1982-01-31,-0.02639844676242287,1982,1,31,0,0
1982-02-01,-0.17874821945597277,1982,2,1,0,0
1982-02-02,-0.17874821945597277,1982,2,2,0,0
1982-02-03,-0.17874821945597277,1982,2,3,0,0
1982-02-04,-0.17874821945597277,1982,2,4,0,0
1982-02-05,-0.17874821945597277,1982,2,5,0,0
1982-02-06,-0.17874821945597277,1982,2,6,0,0
1982-02-07,-0.17874821945597277,1982,2,7,0,0
1982-02-08,-0.2611182325522858,1982,2,8,0,0
1982-02-09,-0.2611182325522858,1982,2,9,0,0
1982-02-10,-0.2611182325522858,1982,2,10,0,0
1982-02-11,-0.2611182325522858,1982,2,11,0,0
1982-02-12,-0.2611182325522858,1982,2,12,0,0
1982-02-13,-0.2611182325522858,1982,2,13,0,0
1982-02-14,-0.2611182325522858,1982,2,14,0,0
1982-02-15,-0.4834502270322059,1982,2,15,0,0
1982-02-16,-0.4834502270322059,1982,2,16,0,0
1982-02-17,-0.4834502270322059,1982,2,17,0,0
1982-02-18,-0.4834502270322059,1982,2,18,0,0
1982-02-19,-0.4834502270322059,1982,2,19,0,0
1982-02-20,-0.4834502270322059,1982,2,20,0,0
1982-02-21,-0.4834502270322059,1982,2,21,0,0
1982-02-22,-0.28639460231451697,1982,2,22,0,0
1982-02-23,-0.28639460231451697,1982,2,23,0,0
1982-02-24,-0.28639460231451697,1982,2,24,0,0
1982-02-25,-0.28639460231451697,1982,2,25,0,0
1982-02-26,-0.28639460231451697,1982,2,26,0,0
1982-02-27,-0.28639460231451697,1982,2,27,0,0
1982-02-28,-0.28639460231451697,1982,2,28,0,0
1982-03-01,-0.07493180161239699,1982,3,1,0,0
1982-03-02,-0.07493180161239699,1982,3,2,0,0
1982-03-03,-0.07493180161239699,1982,3,3,0,0
1982-03-04,-0.07493180161239699,1982,3,4,0,0
1982-03-05,-0.07493180161239699,1982,3,5,0,0
1982-03-06,-0.07493180161239699,1982,3,6,0,0
1982-03-07,-0.07493180161239699,1982,3,7,0,0
1982-03-08,-0.27767883156845263,1982,3,8,0,0
1982-03-09,-0.27767883156845263,1982,3,9,0,0
1982-03-10,-0.27767883156845263,1982,3,10,0,0
1982-03-11,-0.27767883156845263,1982,3,11,0,0
1982-03-12,-0.27767883156845263,1982,3,12,0,0
1982-03-13,-0.27767883156845263,1982,3,13,0,0
1982-03-14,-0.27767883156845263,1982,3,14,0,0
1982-03-15,-0.06304275985158657,1982,3,15,0,0
1982-03-16,-0.06304275985158657,1982,3,16,0,0
1982-03-17,-0.06304275985158657,1982,3,17,0,0
1982-03-18,-0.06304275985158657,1982,3,18,0,0
1982-03-19,-0.06304275985158657,1982,3,19,0,0
1982-03-20,-0.06304275985158657,1982,3,20,0,0
1982-03-21,-0.06304275985158657,1982,3,21,0,0
1982-03-22,0.09185372802928553,1982,3,22,0,0
1982-03-23,0.09185372802928553,1982,3,23,0,0
1982-03-24,0.09185372802928553,1982,3,24,0,0
1982-03-25,0.09185372802928553,1982,3,25,0,0
1982-03-26,0.09185372802928553,1982,3,26,0,0
1982-03-27,0.09185372802928553,1982,3,27,0,0
1982-03-28,0.09185372802928553,1982,3,28,0,0
1982-03-29,-0.7542917827651935,1982,3,29,0,0
1982-03-30,-0.7542917827651935,1982,3,30,0,0
1982-03-31,-0.7542917827651935,1982,3,31,0,0
1982-04-01,-0.7542917827651935,1982,4,1,0,0
1982-04-02,-0.7542917827651935,1982,4,2,0,0
1982-04-03,-0.7542917827651935,1982,4,3,0,0
1982-04-04,-0.7542917827651935,1982,4,4,0,0
1982-04-05,-0.3386016008766184,1982,4,5,0,0
1982-04-06,-0.3386016008766184,1982,4,6,0,0
1982-04-07,-0.3386016008766184,1982,4,7,0,0
1982-04-08,-0.3386016008766184,1982,4,8,0,0
1982-04-09,-0.3386016008766184,1982,4,9,0,0
1982-04-10,-0.3386016008766184,1982,4,10,0,0
1982-04-11,-0.3386016008766184,1982,4,11,0,0
1982-04-12,-0.23259157277373624,1982,4,12,0,0
1982-04-13,-0.23259157277373624,1982,4,13,0,0
1982-04-14,-0.23259157277373624,1982,4,14,0,0
1982-04-15,-0.23259157277373624,1982,4,15,0,0
1982-04-16,-0.23259157277373624,1982,4,16,0,0
1982-04-17,-0.23259157277373624,1982,4,17,0,0
1982-04-18,-0.23259157277373624,1982,4,18,0,0
1982-04-19,-0.6748136435461562,1982,4,19,0,0
1982-04-20,-0.6748136435461562,1982,4,20,0,0
1982-04-21,-0.6748136435461562,1982,4,21,0,0
1982-04-22,-0.6748136435461562,1982,4,22,0,0
1982-04-23,-0.6748136435461562,1982,4,23,0,0
1982-04-24,-0.6748136435461562,1982,4,24,0,0
1982-04-25,-0.6748136435461562,1982,4,25,0,0
1982-04-26,0.09842292631019445,1982,4,26,0,0
1982-04-27,0.09842292631019445,1982,4,27,0,0
1982-04-28,0.09842292631019445,1982,4,28,0,0
1982-04-29,0.09842292631019445,1982,4,29,0,0
1982-04-30,0.09842292631019445,1982,4,30,0,0
1982-05-01,0.09842292631019445,1982,5,1,0,0
1982-05-02,0.09842292631019445,1982,5,2,0,0
