fold,train_start,train_end,test_start,test_end,rmse,mape,pcc,prophet_baseline_mape,stacked_rmse,stacked_mape,stacked_pcc,selected_features,forecast_features,prophet_config
3,2019-01-01,2022-11-28,2023-01-01,2023-12-31,1982.2484,12.44516521692276,-0.013404050371769576,15.755421159376231,1960.673244920437,12.73375982958536,0.030090264124958306,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'Month', 'Week', 'euro per kWh', 'Year', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen', 'weekly', 'euro per m3.1', 'euro per kWh.1', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Totaal']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
4,2019-01-01,2023-11-28,2024-01-01,2024-11-29,2258.1648,22.756977379322052,0.15370464217591467,11.565310487983984,1832.7440178617614,11.4900989882499,0.20004071593951636,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'Month', 'Week', 'weekly', 'euro per kWh', 'Jaarmutatie CPI afgeleid | %', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid', 'trend', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Totaal']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
1,2019-01-01,2020-11-01,2021-01-01,2021-12-31,2297.8193,16.88116043806076,-0.12618169780404734,12.975031666773262,1738.4123778135665,12.172075724786854,0.2587478909266264,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'yearly', 'weekly', 'euro per kWh.2', 'Werkloze beroepsbevolking|Seizoengecorrigeerd', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Goederen', 'Coal, South African ** | ($/mt)', 'Week', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid', 'Month']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
1,2019-01-01,2020-11-01,2021-01-01,2021-12-31,2429.3127,27.21688151359558,0.37637345279987366,12.975031666773262,1667.199508165706,11.467381761121231,0.3766008640844428,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'yearly', 'weekly', 'euro per kWh.2', 'Werkloze beroepsbevolking|Seizoengecorrigeerd', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Goederen', 'Coal, South African ** | ($/mt)', 'Week', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid', 'Month']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
2,2019-01-01,2021-11-01,2022-01-01,2022-12-31,2325.2358,23.10987114906311,-0.1928798737619483,15.296975674332048,1866.713637753993,13.907281125796203,0.204866791687898,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'yearly', 'weekly', 'Month', 'Week', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Verandering in voorraden', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Totaal', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
2,2019-01-01,2021-11-01,2022-01-01,2022-12-31,2449.2825,22.308404743671417,-0.14327131737614038,15.296975674332048,1884.1754176045088,13.989685624362231,0.15480051564907643,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'yearly', 'weekly', 'Month', 'Week', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Verandering in voorraden', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Totaal', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
3,2010-01-01,2013-11-01,2014-01-01,2014-12-31,3218.6492,25.899365544319153,0.579603307582922,15.514695506048554,1855.4050214173076,11.846343963259956,0.6050497208281767,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'yearly', 'trend', 'Month', 'Week', 'euro per m3', 'euro per kWh.2', 'Coal, Australian | ($/mt)', 'euro per kWh.1']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
3,2010-01-01,2013-11-01,2014-01-01,2014-12-31,2270.5378,17.573390901088715,0.658045026481944,15.514695506048554,1748.7885833213886,10.869882815829785,0.6609423766863289,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'yearly', 'trend', 'Month', 'Week', 'euro per m3', 'euro per kWh.2', 'Coal, Australian | ($/mt)', 'euro per kWh.1']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
1,2019-01-01,2020-11-01,2021-01-01,2021-12-31,2414.2844,24.64347332715988,-0.25311813752043,12.975031666773262,1721.6601770646646,11.970092340987694,0.2912841892248018,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'yearly', 'weekly', 'euro per kWh.2', 'Werkloze beroepsbevolking|Seizoengecorrigeerd', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Goederen', 'Coal, South African ** | ($/mt)', 'Week', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid', 'Month']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
1,2019-01-01,2020-11-01,2021-01-01,2021-12-31,1944.0317,16.621732711791992,0.03597383605971625,12.975031666773262,1772.729360949863,12.180000077677006,0.1724798692070001,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'yearly', 'weekly', 'euro per kWh.2', 'Werkloze beroepsbevolking|Seizoengecorrigeerd', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Goederen', 'Coal, South African ** | ($/mt)', 'Week', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid', 'Month']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
