fold,model,epoch,time_str,time_sec,loss
1,Classical LSTM,1,00:04,4.0,0.0159
1,Classical LSTM,2,00:04,4.0,0.0159
1,Classical LSTM,3,00:04,4.0,0.0189
1,Classical LSTM,4,00:03,3.0,0.0156
1,Classical LSTM,5,00:04,4.0,0.0133
1,Classical LSTM,6,00:04,4.0,0.012
1,QLSTM,1,40:19,2419.0,0.0314
1,QLSTM,2,56:56,3416.0,0.0216
1,QLSTM,3,3:12:59,11579.0,0.00895
2,Classical LSTM,1,00:08,8.0,0.0182
2,Classical LSTM,2,00:07,7.0,0.0167
2,Classical LSTM,3,00:07,7.0,0.0234
2,QLSTM,1,2:14:23,8063.0,0.0294
2,QLSTM,2,2:29:50,8990.0,0.0224
2,QLSTM,3,2:34:40,9280.0,0.0161
3,Classical LSTM,1,00:10,10.0,0.0259
3,Classical LSTM,2,00:10,10.0,0.0106
3,Classical LSTM,3,00:10,10.0,0.0205
3,QLSTM,1,2:26:59,8819.0,0.0247
3,QLSTM,2,1:17:21,4641.0,0.0241
3,QLSTM,3,1:18:09,4689.0,0.0198
4,Classical LSTM,1,00:11,11.0,0.0153
4,Classical LSTM,2,00:10,10.0,0.014
4,Classical LSTM,3,00:10,10.0,0.0171
4,QLSTM,1,1:38:02,5882.0,0.0326
4,QLSTM,2,1:37:23,5843.0,0.0166
4,QLSTM,3,1:38:40,5920.0,0.0185
