fold,model,rmse,mape,pcc
1,Classical LSTM,2138.83,16.03,-0.047
1,QLSTM,2355.71,20.32,0.095
1,Stacked Model,1687.9,11.22,0.364
2,Classical LSTM,2641.58,20.44,0.062
2,QLSTM,2708.56,30.12,-0.108
2,Stacked Model,1906.79,13.92,0.131
3,Classical LSTM,1891.86,14.92,0.448
3,QLSTM,1902.68,13.1,0.181
3,Stacked Model,1904.09,11.94,0.24
4,Classical LSTM,2627.92,21.84,0.221
4,QLSTM,2394.19,25.51,0.189
4,Stacked Model,1827.58,11.39,0.213
