fold,train_start,train_end,test_start,test_end,rmse,mape,pcc,prophet_baseline_mape,stacked_rmse,stacked_mape,stacked_pcc,selected_features,forecast_features,prophet_config
5,2010-01-01,2015-11-01,2016-01-01,2016-12-31,1904.3598005629083,14.5750492811203,0.5549084046260928,15.546678572368497,1912.1690643098038,11.87446974066592,0.5641243054221527,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'trend', 'Month', 'Week', 'euro per m3', 'yearly', 'euro per kWh.1', 'Coal, Australian | ($/mt)', 'euro per m3.1']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
2,2010-01-01,2012-11-01,2013-01-01,2013-12-31,2006.6957293022776,12.465861439704895,0.6410689518864927,17.72123224448264,1841.6123394807908,11.74724366048855,0.6416122477324908,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'trend', 'yearly', 'Month', 'euro per kWh.2', 'Week', 'euro per m3', 'euro per kWh.1', 'Crude oil, WTI | ($/bbl)']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
6,2010-01-01,2016-11-01,2017-01-01,2017-12-31,3040.6334866274165,21.896076202392578,0.5410349977357488,14.369294857407489,1905.5071261501635,11.911164624798632,0.5439290069045235,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'Month', 'Week', 'yearly', 'euro per m3', 'trend', 'euro per kWh.1', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Verandering in voorraden', 'CPI afgeleid | 2015 = 100']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
7,2010-01-01,2017-11-01,2018-01-01,2018-12-31,1983.625468681021,14.54043835401535,0.449566221723103,14.245551390361605,1887.0217719993818,11.686805796378419,0.44980710665284535,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'Month', 'Week', 'euro per m3', 'yearly', 'euro per kWh.1', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Verandering in voorraden', 'CPI afgeleid | 2015 = 100', 'CPI | 2015 = 100']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
1,2019-01-01,2020-11-28,2021-01-01,2021-12-31,2174.6953809671827,14.504128694534302,-0.2572172323183024,13.192769934348675,1750.4526242402655,12.103703072406864,0.25936052166325385,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'euro per kWh.2', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen', 'weekly', 'Month', 'Week', 'Natural gas, Europe | ($/mmbtu)', 'yearly', 'euro per kWh.1', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Goederen']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
3,2019-01-01,2022-11-28,2023-01-01,2023-12-31,1930.647365522767,12.041035294532776,0.27351250478723665,15.552516381986523,1811.3379643152007,11.273731589548644,0.38379970510350336,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'Month', 'Week', 'euro per kWh', 'Year', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen', 'weekly', 'euro per m3.1', 'euro per kWh.1', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Totaal']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
2,2019-01-01,2021-11-28,2022-01-01,2022-12-31,2410.2321464954366,22.901810705661774,-0.01616808100441688,14.513866317282927,1899.2573633077857,13.62579286691384,0.15775145101155008,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'yearly', 'Month', 'Week', 'weekly', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Totaal', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Totaal', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Totaal']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
4,2019-01-01,2023-11-28,2024-01-01,2024-11-29,2623.678143370486,33.91902148723602,0.10168377528932847,11.556578612690977,1834.4844199287331,11.582116773882007,0.19542822617790012,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'Month', 'Week', 'weekly', 'euro per kWh', 'Jaarmutatie CPI afgeleid | %', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid', 'trend', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Totaal']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
1,2019-01-01,2020-11-28,2021-01-01,2021-12-31,2227.9964093328335,16.633716225624084,-0.25090501122005726,13.192769934348675,1737.108996411214,11.937183041568817,0.2853664945479445,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'euro per kWh.2', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen', 'weekly', 'Month', 'Week', 'Natural gas, Europe | ($/mmbtu)', 'yearly', 'euro per kWh.1', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Goederen']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
3,2019-01-01,2022-11-28,2023-01-01,2023-12-31,1913.6838166217533,12.08469644188881,0.19621424231331422,15.552516381986523,1894.3590002023973,11.839648348602697,0.259510374255421,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'Month', 'Week', 'euro per kWh', 'Year', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen', 'weekly', 'euro per m3.1', 'euro per kWh.1', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Totaal']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
