"Consumentenprijzen; prijsindex 2015=100"
"Bestedingscategorieën: 000000 Alle bestedingen"
"";"Onderwerp"
"";"CPI";"CPI afgeleid";"Jaarmutatie CPI";"Jaarmutatie CPI afgeleid"
"Perioden";"2015 = 100";"2015 = 100";"%";"%"
"2004 november";"83,98";"86,54";"1,3";"0,8"
"2004 december";"83,25";"85,79";"1,1";"0,6"
"2004";"83,48";"86,08";"1,3";"0,9"
"2005 januari";"83,58";"85,92";"1,5";"1,0"
"2005 februari";"84,10";"86,46";"1,7";"1,2"
"2005 maart";"84,88";"87,28";"1,7";"1,3"
"2005 april";"85,03";"87,42";"1,6";"1,3"
"2005 mei";"84,98";"87,37";"1,3";"1,1"
"2005 juni";"84,70";"87,08";"1,7";"1,4"
"2005 juli";"84,57";"86,95";"1,7";"1,4"
"2005 augustus";"84,96";"87,36";"1,8";"1,6"
"2005 september";"85,73";"88,15";"1,8";"1,6"
"2005 oktober";"85,66";"88,08";"1,7";"1,5"
"2005 november";"85,44";"87,85";"1,7";"1,5"
"2005 december";"84,98";"87,38";"2,1";"1,9"
"2005";"84,88";"87,28";"1,7";"1,4"
"2006 januari";"84,68";"87,44";"1,3";"1,8"
"2006 februari";"85,01";"87,79";"1,1";"1,5"
"2006 maart";"85,68";"88,49";"0,9";"1,4"
"2006 april";"86,07";"88,88";"1,2";"1,7"
"2006 mei";"86,15";"88,95";"1,4";"1,8"
"2006 juni";"85,84";"88,62";"1,3";"1,8"
"2006 juli";"85,68";"88,46";"1,3";"1,7"
"2006 augustus";"86,13";"88,89";"1,4";"1,8"
"2006 september";"86,46";"89,24";"0,9";"1,2"
"2006 oktober";"86,24";"89,01";"0,7";"1,1"
"2006 november";"86,10";"88,87";"0,8";"1,2"
"2006 december";"85,79";"88,54";"1,0";"1,3"
"2006";"85,82";"88,60";"1,1";"1,5"
"2007 januari";"85,89";"88,55";"1,4";"1,3"
"2007 februari";"86,28";"88,96";"1,5";"1,3"
"2007 maart";"87,22";"89,92";"1,8";"1,6"
"2007 april";"87,64";"90,34";"1,8";"1,6"
"2007 mei";"87,70";"90,41";"1,8";"1,6"
"2007 juni";"87,34";"90,04";"1,7";"1,6"
"2007 juli";"86,93";"89,61";"1,5";"1,3"
"2007 augustus";"87,08";"89,77";"1,1";"1,0"
"2007 september";"87,59";"90,30";"1,3";"1,2"
"2007 oktober";"87,63";"90,33";"1,6";"1,5"
"2007 november";"87,76";"90,47";"1,9";"1,8"
"2007 december";"87,39";"90,08";"1,9";"1,7"
"2007";"87,20";"89,90";"1,6";"1,5"
"2008 januari";"87,63";"90,24";"2,0";"1,9"
"2008 februari";"88,22";"90,82";"2,2";"2,1"
"2008 maart";"89,09";"91,71";"2,1";"2,0"
